SAMPLE ID,REFERENCES,TECTONIC SETTING,Location,LATITUDE,LONGITUDE,MIN ELEVATION,MAX ELEVATION,ROCK NAME,MIN AGE,AGE,MAX AGE,ANALYZED MATERIAL,ROCK TYPE,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O,HE,CO2,F,CL,S,LI,BE,B,SC,TI,V,CR,MN,CO,NI,CU,ZN,GA,GE,AS,SE,BR,RB,SR,Y,ZR,NB,MO,RU,PD,AG,CD,INDIUM,SN,SB,TE,I,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,W,RE,OS,IR,PT,AU,TL,PB,BI,TH,U,iso143Nd144Nd,iso87Sr86Sr,iso206Pb204Pb,iso207Pb204Pb,iso208Pb204Pb,iso176Hf177Hf,HE3_HE4,HE4_HE3,HE3_HE4_R_RA,IGSN,EXPEDITION ID,LOC PREC,METHOD,SI,MN,NI,CO,CU,CD,ZN,AS,AG,S,AL,CA,MG,PB207_PB206,PB208_PB206,HF176_HF177_INI,RE187_OS188,OS187_OS188,OS187_OS188_INI,OS187_OS186,OS186_OS188,OS184_OS188,HF176_HF177_INI,ND143_ND144_INI,PB206_PB204_INI,PB207_PB204_INI,PB208_PB204_INI,SR87_SR86_INI,HE3,HE4,AL,CA,K,MG,N,NA,P,PA,SI,TI,AS,AS,GER,INDIUM
NHOCHEP-036-004,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,71.52,-3.9383,-2925,-2925,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,181.1,,,,,,,,,,,,,,,,,,,26.02,6.66,,,,,,,,,,,,,,,,,,,1.47,,2.33,0.613,0.513044,0.70319,18.6,15.501,38.386,,,,,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRSR02-007,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,71.64,-3.057,-2220,-2220,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47,170,,,,,,,,,,,,,,,,,,,13.56,3.65,,,,,,,,,,,,,,,,,,,0.876,,1.3,0.335,0.513021,0.703089,18.538,15.467,38.239,,,,6.98,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELPHNX-2-044-002,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,71.82,-2.08,-2550,-2550,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.49,279.1,,,,,,,,,,,,,,,,,,,19.61,4.44,,,,,,,,,,,,,,,,,,,1.371,,2.525,0.622,0.51301,0.703206,18.624,15.515,38.479,,,,6.81,,TRI0139,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELPHNX-2-078-005,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,71.82,-2.08,-2550,-2550,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72,313.6,,,,,,,,,,,,,,,,,,,21.59,4.73,,,,,,,,,,,,,,,,,,,1.506,,2.905,0.729,0.513,0.703212,18.643,15.493,38.438,,,,7.2,,TRI0139,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLY0102-076-003,"BLICHERT-TOFT, 2005; DIXON, 2017; KELLEY, 2013; WAGGONER, 1989",SPREADING_CENTER,MORB-Arctic,71.88,-1.3933,-2900,-2950,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,51.37,1.41,15.43,,,,,9.68,,0.18,7.59,11.46,2.44,0.3,,,0.501,,172,,,,,,,40.2,8042,310,300,,42.6,104.6,87.1,85.5,16.59,,,,,8.34,135.4,30.5,85.8,8.5,0.463,,,,0.0823,,0.786,0.0286,,,0.098,94.9,7.15,17.3,2.53,12.24,3.69,1.27,4.58,0.818,5.18,1.158,3.3,,3.05,0.445,2.41,0.5442,0.1698,,,,,,0.025,0.68,,0.665,0.166,0.513069,0.703208,18.2795,15.4402,37.9997,0.283327,,,,URI900394,END0026,0.0001,EMP; FTIR; HR-ICP-MS; MC-ICP-MS; MS; MS-ID,,,104.6,42.6,87.1,0.0823,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,2131,,,,,,,8042,,,,
HLY0102-054-019,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,71.88,-1.3933,-2900,-2950,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93,130.4,,,,,,,,,,,,,,,,,,,11.51,3.44,,,,,,,,,,,,,,,,,,,0.638,,0.645,0.171,0.513009,0.703206,18.288,15.453,38.05,,,,6.86,,END0026,0.0001,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1,,,,,,
HLY0102-085-125,"COTTRELL, 2011; ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,71.88,-1.3933,-2900,-2950,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,7.95,129.6,,,,,,,,,,,,,,,,,,,11.63,3.49,,,,,,,,,,,,,,,,,,,0.635,,0.646,0.17,0.513006,0.703185,18.294,15.454,38.031,,,,6.79,,END0026,0.0001,FTIR; ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DY0115-017-004A,"BEZARD, 2016",SPREADING_CENTER,MORB-Arctic,71.89,-1.19,,,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,52.17,1.33,15.97,,,,,8.01,,0.14,7.43,11.21,3.04,0.43,0.26,0.35,,,,,,,,,,,,,291,,,,,,,,,,,11.2,172,27,86,14.9,0.565,,,,,,,,,,,154,9.62,20.8,2.84,13.2,3.52,1.26,4.18,0.68,4.59,0.98,2.74,,2.66,0.42,2.31,0.84,,,,,,,,,,1.11,0.27,0.513033,0.70321,18.376,15.452,38.101,0.28332,,,,,SUBMAR2003,0.01,IGN; LA-ICPMS; MC-ICP-MS; TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWI9309-004-003,"HAASE, 1996; MERTZ, 1997",SPREADING_CENTER,MORB-Arctic,71.97,-0.7283,-2671,-2355,THOLEIITE,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,51.03,1.11,15.11,,,,,8.66,,0.15,8.05,12.15,2.21,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512937,0.703364,18.269,15.424,37.943,,,,,,MET07/3,0.0001,EMP; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0093-5-006-013,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,71.99,-0.65,-2340,-2380,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86,141,,,,,,,,,,,,,,,,,,,12.56,3.6,,,,,,,,,,,,,,,,,,,0.749,,1.02,0.27,0.512999,0.70319,18.363,15.442,38.087,,,,7.02,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0127-2-R098,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,72.18,0.23,-2462,-2462,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,116.3,,,,,,,,,,,,,,,,,,,9.69,3.19,,,,,,,,,,,,,,,,,,,0.507,,0.381,0.098,0.513084,0.703066,17.97,15.413,37.674,,,,7.88,,TRI0139,0.01,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEM0033-1-005-005,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,72.32,1.4817,-2525,-2525,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06,197.6,,,,,,,,,,,,,,,,,,,11.96,3.04,,,,,,,,,,,,,,,,,,,0.68,,1.277,0.321,0.513021,0.703204,18.46,15.47,38.229,,,,7.24,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULCUR2-023-002,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,72.32,1.4817,-2525,-2525,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,214.5,,,,,,,,,,,,,,,,,,,14.79,3.51,,,,,,,,,,,,,,,,,,,0.987,,1.85,0.497,0.513013,0.703196,18.501,15.478,38.287,,,,6.82,,END0026,0.0001,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.1,,,,,,
THO0175-074-017,"BEZARD, 2016",SPREADING_CENTER,MORB-Arctic,72.33,1.4928,,,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,52.01,1.25,15.58,,,,,8.23,,0.15,7.3,12.06,2.42,0.67,0.34,< 0.2,,,,,,,,,,,,,200,,,81,,,,,,,,17.2,223,21,84,23.4,0.908,,,,,,,,,,,223,14.23,29.6,3.57,14.8,3.21,1.18,3.64,0.59,3.97,0.79,2.28,,2.25,0.3,2.19,1.28,,,,,,,,,,1.76,0.48,0.513031,0.703231,18.505,15.473,38.25,0.28333,,,,,SUBMAR2000,0.0001,IGN; LA-ICPMS; MC-ICP-MS; TIMS,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON2806-050-001G,"MERTZ, 1997",SPREADING_CENTER,MORB-Arctic,72.37,1.64,-2573,-2401,THOLEIITE,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51302,0.703266,18.173,15.435,37.9,,,,,,MET07/3,0.0001,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1060/7,"MERTZ, 1997",SPREADING_CENTER,MORB-Arctic,72.37,-1.648,-2580,-2580,THOLEIITE,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513046,0.703338,18.17,15.432,37.905,,,,,,MET07/3,0.001,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARP1974-007-005,"BEZARD, 2016",SPREADING_CENTER,MORB-Arctic,72.39,1.72,,,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,51.06,1.1,15.64,,,,,9.08,,0.15,8.33,12.19,2.11,0.21,0.12,< 0.4,,,,,,,,,,,,,364,,,154,,,,,,,,4.21,111,23,53,3.32,0.147,,,,,,,,,,,49,3.28,9.6,1.53,8.1,2.62,1.03,3.26,0.58,3.84,0.88,2.37,,2.46,0.36,1.61,0.19,,,,,,,,,,0.24,0.06,0.513038,0.703451,17.996,15.423,37.689,0.28338,,,,,SUBMAR2000,0.01,IGN; LA-ICPMS; MC-ICP-MS; TIMS,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR0057-015-001-6B,"MERTZ, 1997",SPREADING_CENTER,MORB-Arctic,72.40,1.7117,-3080,-2698,THOLEIITE,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513008,0.703371,18.079,15.428,37.762,,,,,,MET07/3,0.0001,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET41/2-160-002,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,72.61,3.375,-3020,-3020,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,119.9,,,,,,,,,,,,,,,,,,,9.3,2.9,,,,,,,,,,,,,,,,,,,0.53,,0.18,0.08,0.513065,0.703101,18.227,15.458,37.978,0.283363,,,7.47,,TRI0139,0.0001,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR0080-066-003,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,72.81,4.2633,-2540,-2520,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,118.4,,,,,,,,,,,,,,,,,,,8.82,3.02,,,,,,,,,,,,,,,,,,,0.369,,0.13,0.077,0.513131,0.703013,17.919,15.429,37.635,,,,7.42,,END0026,0.0001,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,,,
HLY0102-054-003,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,73.01,5.18,-2900,-2900,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,121.9,,,,,,,,,,,,,,,,,,,9.6,2.95,,,,,,,,,,,,,,,,,,,0.585,,0.13,0.078,0.513028,0.703154,18.288,15.46,38.026,,,,7.42,,TRI0139,0.01,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,,,
DUF0107-055-002-001,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,73.22,6.438,-2840,-2840,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,131.4,,,,,,,,,,,,,,,,,,,9.73,2.86,,,,,,,,,,,,,,,,,,,0.73,,0.535,0.146,0.513033,0.703202,18.382,15.483,38.164,,,,7.66,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI0139-031-002AG,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,73.41,7.388,-2623,-2623,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,92.2,,,,,,,,,,,,,,,,,,,6.91,2.65,,,,,,,,,,,,,,,,,,,0.268,,0.126,0.041,0.513105,0.702853,17.556,15.369,37.304,,,,8.21,,END0026,0.0001,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.8,,,,,,
XXXESCP-019-CV01,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,73.41,7.388,-2623,-2623,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,92.6,,,,,,,,,,,,,,,,,,,6.89,2.64,,,,,,,,,,,,,,,,,,,0.336,,0.134,0.04,0.513164,0.702865,17.956,15.431,37.65,,,,,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0127-1-021-002,"BLICHERT-TOFT, 2005; DIXON, 2017; KELLEY, 2013; NEUMANN, 1984; WAGGONER, 1989",SPREADING_CENTER,MORB-Arctic,73.41,7.388,-2623,-2623,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,50.83,0.94,15.76,,,,,8.79,,0.14,8.28,11.89,2.42,0.09,0.06,,0.214,,350,,,,,,,38.3,6714,261,340,,45,135.1,75.1,79.2,18.14,,,,,1.87,102.6,30.1,64.3,2,0.24,,,,0.0466,,0.465,0.0479,,,0.024,24.8,2.35,7.24,1.34,7.43,2.83,1.07,4.02,0.741,4.83,1.079,3.03,,2.89,0.434,1.84,0.1387,0.1229,,,,,,0.0206,0.48,,0.163,0.044,0.513223,0.70287,17.9589,15.4345,37.6295,0.283454,,,,URI900401,END0026,0.0001,EMP; FTIR; HR-ICP-MS; MC-ICP-MS; MS,,,135.1,45,75.1,0.0466,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6714,,,,
ALV2602-003,"BEZARD, 2016",SPREADING_CENTER,MORB-Arctic,73.41,7.41,,,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,51.21,1.21,15.58,,,,,8.88,,0.16,8.65,11.48,2.44,0.22,0.16,< 0.52,,,,,,,,,,,,,344,,,119,,,,,,,,3.63,125,28,73,4.51,0.211,,,,,,,,,,,48,4.03,10.5,1.75,9.2,3.21,1.21,3.89,0.7,4.65,0.99,2.83,,2.76,0.43,2.09,0.28,,,,,,,,,,0.31,0.08,0.513165,0.702995,17.977,15.422,37.646,0.28341,,,,,SUBMAR2003,0.01,IGN; LA-ICPMS; MC-ICP-MS; TIMS,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAR0080-012A-001,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,73.52,8.1083,-2288,-2288,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68,112.3,,,,,,,,,,,,,,,,,,,8.06,2.88,,,,,,,,,,,,,,,,,,,0.427,,0.224,0.079,0.513101,0.703173,17.927,15.417,37.57,0.283388,,,7.52,,END0026,0.0001,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLY0102-074-005,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,73.74,8.3717,-3290,-3290,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,112.7,,,,,,,,,,,,,,,,,,,10.5,3.54,,,,,,,,,,,,,,,,,,,0.776,,0.362,0.109,0.513136,0.703018,18.277,15.478,38.048,,,,7.47,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIMNAUT-DR02-003,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,74.20,8.835,-3210,-3210,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37,150.8,,,,,,,,,,,,,,,,,,,11.85,3.47,,,,,,,,,,,,,,,,,,,0.91,,0.96,0.228,0.513042,0.703137,18.342,15.482,38.104,,,,7.34,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRRI88-009-101,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,74.65,8.5117,-2878,-2878,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,136.9,,,,,,,,,,,,,,,,,,,9.94,3.2,,,,,,,,,,,,,,,,,,,0.469,,0.452,0.124,0.513145,0.702928,18.115,15.441,37.809,,,,7.84,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHOCHEP-001-001,"BLICHERT-TOFT, 2005; KELLEY, 2013; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,75.52,7.5033,-3540,-3540,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,8293,246,292,,36.8,76.8,44.5,80.1,18.77,,,,,11.73,145.1,32.5,110.7,9.31,0.586,,,,0.0618,,0.987,0.0828,,,0.338,106.7,7.46,18.65,2.7,13.04,3.93,1.37,4.92,0.875,5.5,1.203,3.42,,3.15,0.47,2.87,0.5957,0.2641,,,,,,0.0531,1.414,,1.071,0.278,0.513006,0.703462,18.5476,15.5264,38.3904,0.283331,,,,URI900409,END0026,0.0001,HR-ICP-MS; MC-ICP-MS; MS,,,76.8,36.8,44.5,0.0618,80.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8293,,,,
NHOCHEP-003-003,"BLICHERT-TOFT, 2005; KELLEY, 2013; NEUMANN, 1984; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,75.52,7.5033,-3540,-3540,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,51.59,1.34,15.95,,1.63,,6.94,,,0.15,7.01,10.67,2.98,0.5,0.16,,0.82,,,,,,,,,41.9,9459,281,299,,36.8,78.2,41.3,77.8,20.16,,,,,11.4,135,30.4,107,9,0.52,,,,0.069,,0.873,0.06,,,0.325,98.67,6.92,17.05,2.42,11.56,3.46,1.24,4.48,0.787,5.11,1.11,3.16,,2.88,0.437,2.88,0.5758,0.2356,,,,,,0.047,1.205,,0.975,0.262,0.513011,0.703493,18.5509,15.5309,38.4016,,,,,URI900410,END0026,0.0001,AAS; FPHOT; HR-ICP-MS; MC-ICP-MS; MS; TITR; Unknown; XRF,,,78.2,36.8,41.3,0.069,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9459,,,,
SON0028-013,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,75.96,7.282,-3258,-3258,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,191.8,,,,,,,,,,,,,,,,,,,13.19,3.74,,,,,,,,,,,,,,,,,,,0.945,,0.705,0.198,0.513131,0.702863,18.312,15.474,38.049,,,,7.02,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TULCUR2-027-005,"MERTZ, 1997",SPREADING_CENTER,MORB-Arctic,76.50,7.3297,-3098,-3098,THOLEIITE,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513101,0.702918,18.502,15.491,38.218,,,,,,POLARK7-2,0.0001,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON2806-045-001G,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,76.56,7.1883,-2810,-2760,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,147.8,,,,,,,,,,,,,,,,,,,11.98,3.78,,,,,,,,,,,,,,,,,,,0.634,,0.95,0.24,0.513152,0.702746,18.174,15.431,37.817,,,,7.33,,END0026,0.0001,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.8,,,,,,
MET41/2-202-001,"SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,76.86,7.3717,-3450,-3450,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,162.4,,,,,,,,,,,,,,,,,,,11.97,3.47,,,,,,,,,,,,,,,,,,,0.721,,0.745,0.205,0.513121,0.702864,18.248,15.427,37.864,,,,7.28,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUF0107-003-002-001,"BEZARD, 2016",SPREADING_CENTER,MORB-Arctic,77.32,7.53,,,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,52.27,1.55,16.49,,,,,8.3,,0.13,7.46,10.22,2.47,0.8,0.31,0.23,,,,,,,,,,,,,164,,,84,,,,,,,,15.8,247,25,124,22.6,1.066,,,,,,,,,,,218,15.63,30.4,4.3,18.8,4.57,1.46,4.98,0.73,4.95,0.93,2.72,,2.68,0.4,3.04,1.46,,,,,,,,,,2.02,0.45,0.513068,0.703235,18.357,15.479,38.07,0.2833,,,,,SUBMAR2002,0.01,IGN; LA-ICPMS; MC-ICP-MS; TIMS,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET41/2-143-002,"ELKINS, 2014; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,77.53,7.6717,-2925,-3000,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,176,,,,,,,,,,,,,,,,,,,11.12,3.32,,,,,,,,,,,,,,,,,,,0.596,,0.489,0.16,0.513115,0.702902,18.218,15.452,37.904,,,,7.22,,END0026,0.0001,ICPMS; ICPMS-ID; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET41/2-126-002,"ELKINS, 2014",SPREADING_CENTER,MORB-Arctic,78.82,7.418,-3400,-3400,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452,0.14,0.513127,0.702843,18.209,15.442,37.876,,,,,,LOG0096,0.001,MC-ICP-MS; TIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
