SAMPLE ID,REFERENCES,TECTONIC SETTING,Location,LATITUDE,LONGITUDE,MIN ELEVATION,MAX ELEVATION,ROCK NAME,MIN AGE,AGE,MAX AGE,ANALYZED MATERIAL,ROCK TYPE,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O,HE,CO2,F,CL,S,LI,BE,B,SC,TI,V,CR,MN,CO,NI,CU,ZN,GA,GE,AS,SE,BR,RB,SR,Y,ZR,NB,MO,RU,PD,AG,CD,INDIUM,SN,SB,TE,I,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,W,RE,OS,IR,PT,AU,TL,PB,BI,TH,U,iso143Nd144Nd,iso87Sr86Sr,iso206Pb204Pb,iso207Pb204Pb,iso208Pb204Pb,iso176Hf177Hf,HE3_HE4,HE4_HE3,HE3_HE4_R_RA,IGSN,EXPEDITION ID,LOC PREC,METHOD,SI,MN,NI,CO,CU,CD,ZN,AS,AG,S,AL,CA,MG,PB207_PB206,PB208_PB206,HF176_HF177_INI,RE187_OS188,OS187_OS188,OS187_OS188_INI,OS187_OS186,OS186_OS188,OS184_OS188,HF176_HF177_INI,ND143_ND144_INI,PB206_PB204_INI,PB207_PB204_INI,PB208_PB204_INI,SR87_SR86_INI,HE3,HE4,AL,CA,K,MG,N,NA,P,PA,SI,TI,AS,AS,GER,INDIUM
ALV0534-002-001,"ELKINS, 2011; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,66.91,-18.78,-405,-405,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,83.2,,,,,,,,,,,,,,,,,,,5.57,2.07,,,,,,,,,,,,,,,,,,,0.269,,0.152,0.0506,0.513124,0.70289,18.004,15.414,37.675,,,,,,TRI0139,0.01,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,,,
ALV1025-001G,"ELKINS, 2011",SPREADING_CENTER,MORB-Arctic,66.98,-18.7225,-384,-384,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136,0.0449,0.513136,0.702893,18.0423,15.4338,37.7547,0.28328,,,,,POS0291,0.0001,ICPMS; MC-ICP-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AII0127-2-055,"ELKINS, 2011",SPREADING_CENTER,MORB-Arctic,67.00,-18.704,-346,-346,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103,0.034,0.513096,0.702938,18.062,15.441,37.805,0.28328,,,,,POS0185,0.0001,ICPMS; MC-ICP-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP082-0561-001-001/128-133,"ANDRES, 2004; BLICHERT-TOFT, 2005; KELLEY, 2013; MELSON, 2003; SIGURDSSON, 1981; WAGGONER, 1989",SPREADING_CENTER,MORB-Arctic,67.01,-18.71,-290,-290,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,50.76,1.23,13.56,,1.4,,11.13,13.2,,0.22,6.66,11.31,2.16,0.06,0.09,,,,,,,,,,,50.76,7520,393,103,,51.74,60.3,122.5,95.5,17.8,,,,,1.03,71.9,32.9,61.5,1.8,0.194,,,,0.098,,0.475,0.034,,,0.022,12.15,2,6.78,1.16,6.52,2.56,0.97,3.79,0.769,5.27,1.2,3.59,,3.51,0.525,1.8,0.127,0.076,,,,,,0.013,0.26,,0.12,0.036,0.51316,0.702902,18.05,15.4464,37.7811,0.283272,,,,URI900425,TRI0139,0.01,CALC; EMP; HR-ICP-MS; MC-ICP-MS; MS; MS-ID,,,60.3,51.74,122.5,0.098,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,7520,,,,
DAR0057-022-002-1B,"ELKINS, 2011; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.01,-18.71,-290,-290,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,68.2,,,,,,,,,,,,,,,,,,,6.2,2.43,,,,,,,,,,,,,,,,,,,0.253,,0.124,0.0407,0.513084,0.702867,18.075,15.459,37.816,,,,,,TRI0139,0.01,ICPMS; ICPMS-ID; MC-ICP-MS; MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,,,,,,
AII0127-2-R113-001,"BLICHERT-TOFT, 2005; KELLEY, 2013; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.03,-18.43,-95,-95,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5018,302,322,,55.4,102.3,60.3,77,17.61,,,,,1.17,94.6,19,47.6,1.467,0.242,,,,,,0.188,0.047,,,0.019,14,1.21,3.59,0.62,3.41,1.4,0.72,2.23,0.409,2.86,0.636,1.92,,2.03,0.305,1.2,0.095,0.112,,,,,,0.0181,0.371,,0.106,0.058,0.513117,0.702774,17.9711,15.4356,37.6265,0.2833,,,,URI900434,TRI0139,0.01,HR-ICP-MS; MC-ICP-MS; MS,,,102.3,55.4,60.3,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5018,,,,
GIL0103-016-002,"KELLEY, 2013; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.04,-18.48,-74,-74,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5791,355,128,,56.1,75.9,63.8,104.2,18.97,,,,,0.44,76.6,19.8,45.9,1.004,0.218,,,,0.0506,,0.122,0.0514,,,0.009,9.7,0.62,1.88,0.39,2.34,1.17,0.69,2.14,0.392,2.88,0.676,2.02,,2.24,0.357,1.29,0.0627,0.1158,,,,,,0.0163,0.425,,0.066,0.02,0.513118,0.702887,18.007,15.452,37.728,,,,,URI900433,TRI0139,0.01,HR-ICP-MS; MS,,,75.9,56.1,63.8,0.0506,104.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5791,,,,
AII0127-2-045GL,"KELLEY, 2013; SCHILLING, 1983; SCHILLING, 1999",SPREADING_CENTER,MORB-Arctic,67.04,-18.48,-74,-74,BASALT,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,5423,335,125,,54.6,75.2,81.3,93.8,18.2,,,,,0.39,77,21.3,44.6,0.97,0.212,,,,0.0431,,0.259,0.0502,,,0.009,10.2,1.11,3.27,0.62,3.5,1.53,0.73,2.42,0.453,3.25,0.756,2.22,0.37,2.38,0.368,1.22,0.0616,0.1134,,,,,,0.017,0.374,,0.084,0.041,0.51313,0.703194,18.02,15.436,37.671,,,,,URI900432,TRI0139,0.01,HR-ICP-MS; INAA; MS,,,75.2,54.6,81.3,0.0431,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5423,,,,
ARP1974-016-037,"MARSCHALL, 2017; MERTZ, 1991; SALTERS, 1996",SPREADING_CENTER,MORB-Arctic,67.08,-18.75,-170,-170,BASALT,,,,GLASS,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,0.0326,,,,,,39,124,,3.1,0.18,0.466,,,278,407,,43.8,132.8,,,,,,,,0.51,55,17,25,0.7,,,,,,,,,,,0.007,5.8,0.93,2.99,0.52,3.12,1.27,0.54,1.94,0.373,2.87,0.65,1.99,0.306,2.169,0.324,0.94,,,,,,,,,0.099,,0.05,0.016,0.51307,0.70296,17.993,15.427,37.653,0.283309,,,,,POLARK5,0.01,IMP; LA-ICPMS; MS; MS-ID; SIMS,,,132.8,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,,
173_A59.46N,"MERTZ, 1991",SPREADING_CENTER,MORB-Arctic,67.09,-18.7065,,,THOLEIITE,,,,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513121,0.70298,17.912,15.44,37.611,,,,,,GEO1988,0.0001,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
