Body,Sample,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cr_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Al_pct,Fe_pct,S_ppm,Sb_ppm,Te_ppm,Ti_pct,Co_ppm,Ni_ppm,Ba_ppm,Cd_ppm,Mg_pct,Mn_pct,Sc_ppm,V_ppm,Ca_pct,K_pct,Na_pct,P_pct,La_ppm,Se_ppm,W_ppm,Zr_ppm,Nb_ppm,Th_ppm,U_ppm,Y_ppm,Hf_ppm,Rb_ppm,Sr_ppm,Mo_ppm,Sn_ppm,Tl_ppm,In_ppm,Re_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/102,68,0.076,309.4,0.34,67,79.21,1.62,168,1.55,25.16,7800,1.34,0.1,0.066,11.3,73.3,15,0.11,1.14,0.2386,4.5,27,1.64,0.12,0.026,0.039,6.3,0.7,0.7,20.7,1.44,1.7,0.4,6.9,0.48,14.4,13,1.4,1.8,0.17,0.25,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/103,72,0.042,404.3,0.17,70,43.01,1.4,116.8,1.53,24.88,3700,0.87,0.09,0.08,15.1,41.5,8,0.16,0.85,0.1867,4.1,25,1.86,0.07,0.019,0.019,5,0.15,0.5,21.2,1.73,1.5,0.4,4.9,0.64,8.9,15,1.51,1.8,0.09,0.23,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/104,17,0.025,122.9,0.08,8,31.54,1.55,160.8,0.28,31.96,3100,0.61,0.06,0.007,3.5,14.4,3,0.3,1.16,0.3624,0.5,4,4.79,0.02,0.016,0.026,1.8,0.15,0.3,2.1,0.21,0.2,0.05,4,0.06,3.2,44,0.48,1.9,0.025,0.3,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/105,22,0.053,65.8,0.18,10,89.31,1.67,132.5,0.28,31.55,7800,0.65,0.09,0.008,3.9,19.6,2,0.32,0.88,0.27,0.5,5,4.56,0.01,0.012,0.023,2.5,0.5,0.3,2.1,0.21,0.2,0.05,3.8,0.07,2.6,38,0.58,2.2,0.025,0.23,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/106,149,0.059,905.9,0.34,44,37.25,2.94,112.2,1.22,21.93,3500,0.57,0.2,0.042,6.5,37.3,16,0.36,0.79,0.2122,2.4,18,8.24,0.17,0.011,0.028,5.7,0.15,1,12.8,0.95,1,0.3,7,0.38,17.1,77,0.4,2.2,0.22,0.56,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/107,187,0.085,772.7,0.67,18,100.76,1.88,129.4,0.58,26.15,7200,1.02,0.33,0.013,6.7,30.4,6,0.32,0.97,0.2413,0.7,9,5.28,0.05,0.017,0.031,3.7,1,0.5,4.4,0.43,0.3,0.1,4.7,0.14,8,42,0.78,2,0.07,0.38,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/108,79,0.074,360.8,0.31,27,79.38,1.74,145.3,1.01,28.34,4600,0.6,0.23,0.02,5.2,28.2,7,0.34,1.09,0.2316,1.2,12,4.72,0.06,0.01,0.024,3.5,0.9,17.3,5.2,0.61,0.5,0.1,5.2,0.15,7.4,39,0.75,2.2,0.08,0.34,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/112,89,0.059,545.1,0.37,49,45.69,2.17,171.1,0.87,31.86,2900,0.99,0.36,0.038,12.3,35,3,0.29,2.22,0.1687,1.8,16,5.87,0.01,0.009,0.038,8.5,0.15,5.2,15.8,1.09,1.4,0.3,6.5,0.44,3.5,60,0.83,1.9,0.025,0.19,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/113,200,0.131,174.6,0.67,189,30.95,2.8,180.1,2.34,28.31,1800,1.15,0.85,0.137,10.7,81.8,5,0.49,2.95,0.2095,4.7,34,9.25,0.03,0.012,0.043,13.5,0.15,1.3,50.1,3.65,6.3,1.8,8.9,1.5,5.5,80,1.43,1.4,0.05,0.24,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG102/115,83,0.11,3.9,0.26,33,36.7,1.06,188.6,0.65,33.68,2300,0.72,0.15,0.029,5,30,11,0.13,1.34,0.076,1.8,14,1.16,0.07,0.01,0.031,2.8,0.3,1.5,8.6,0.76,0.6,0.2,4.6,0.23,10,12,0.87,2.3,0.15,0.18,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
