Body,Sample,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cr_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Al_pct,Fe_pct,S_ppm,Sb_ppm,Te_ppm,Ti_pct,Co_ppm,Ni_ppm,Ba_ppm,Cd_ppm,Mg_pct,Mn_pct,Sc_ppm,V_ppm,Ca_pct,K_pct,Na_pct,P_pct,La_ppm,Se_ppm,W_ppm,Zr_ppm,Nb_ppm,Th_ppm,U_ppm,Y_ppm,Hf_ppm,Rb_ppm,Sr_ppm,Mo_ppm,Sn_ppm,Tl_ppm,In_ppm,Re_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/071,59,0.05,450,0.21,24,25.1,1.2,196,0.45,31,3400,0.59,0.05,0.023,5.4,27.1,10,0.19,0.95,0.237,1.2,9,2.52,0.07,0.01,0.033,7.9,1,2.2,6.7,0.6,0.7,0.1,4.4,0.2,7,23.1,0.53,3,0.11,0.325,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/072,164,0.08,1695,0.43,26,23.4,1.2,232,0.55,33.4,4300,0.9,0.07,0.028,5.3,33.2,20,0.21,1.21,0.3,1.7,11,2.63,0.15,0.01,0.035,3,1,10.3,7.6,0.7,0.5,0.2,5,0.2,14.2,22.6,0.38,3,0.19,0.331,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/073,176,0.1,1545,0.54,15,67.4,1.3,228,0.51,32.4,8700,0.94,0.1,0.023,4.8,23.8,10,0.24,1.26,0.279,1.1,7,2.73,0.05,0.01,0.033,3.2,1,5,13.2,0.9,0.5,0.2,5.4,0.4,5.5,24.6,0.46,2.4,0.09,0.358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG127/074,476,0.11,10000,1.5,43,98.6,1.7,215,1.03,31.4,15200,2.33,0.26,0.044,11.9,62.8,10,0.22,1.38,0.257,2.4,16,2.87,0.14,0.01,0.032,5.7,1,2.5,14.3,1.2,1.2,0.3,5.9,0.4,12.7,22.8,0.49,2.3,0.19,0.343,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG38/178,12,0.043,127.7,0.03,63,45.88,1.04,58.4,1.07,25.96,1700,0.59,0.73,0.055,12.5,38.7,13,0.12,2.23,0.1868,3.6,15,4.07,0.09,0.014,0.036,4,0.3,0.6,13.7,1.03,1.1,0.4,6.4,0.31,7.2,36,0.86,0.6,0.07,0.05,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG38/179,19,0.04,21.4,0.03,54,50.48,0.68,64.1,1.18,31.68,1800,0.68,0.35,0.055,12,46.2,24,0.09,1.9,0.1663,3.2,9,1.37,0.16,0.011,0.052,4.2,0.15,0.3,15.1,1.24,1,0.4,5,0.39,12.4,13,1.65,0.8,0.12,0.05,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG38/181,21,0.059,41.1,0.07,51,68.18,0.84,45.6,0.87,27.44,2200,0.57,0.1,0.044,10.4,35.4,7,0.11,1.4,0.1413,2.8,22,2.85,0.04,0.008,0.058,5,0.3,0.3,10.2,0.96,0.6,1,6.2,0.3,3.5,26,0.87,0.9,0.07,0.06,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG47/056,284,0.153,1279.8,1.42,54,41.56,1.12,102.5,0.86,31.03,10400,0.77,0.12,0.031,10.2,36.9,18,0.16,2.24,0.2034,2.2,13,2.33,0.15,0.021,0.037,4.7,0.5,0.6,9.5,0.7,0.8,0.2,4.2,0.28,17.3,23,1.19,1,0.17,0.15,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG47/057,53,0.054,726.6,0.48,46,16.34,0.49,61.4,0.67,38.89,4200,0.75,0.15,0.031,4.2,25.3,9,0.07,1.48,0.1468,1.9,14,1.61,0.11,0.025,0.032,5.6,0.15,0.5,8.5,0.55,0.8,0.2,3.5,0.2,16.8,18,0.98,1.2,0.08,0.09,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG47/058,80,0.055,848.5,0.75,50,29.39,1.06,71.9,0.83,33.98,6800,1.26,0.17,0.033,5.6,29.2,13,0.11,1.82,0.1805,2.1,14,1.45,0.2,0.058,0.037,3.9,0.15,0.7,7.9,0.83,0.8,0.2,4.3,0.24,32.2,22,1.12,1.2,0.13,0.12,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG47/059,118,0.043,846.9,1.03,40,35.6,1.6,70.9,0.72,34.77,7500,1.75,0.27,0.03,5.5,25.6,14,0.17,1.88,0.1836,2,12,1.7,0.26,0.092,0.038,4.6,0.3,0.7,6.8,0.85,0.8,0.2,4.3,0.21,43.9,28,1,0.9,0.14,0.1,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG47/061,243,0.092,1121,1.22,53,47.9,1.82,84,0.85,34.01,9400,1.31,0.19,0.038,5.2,26.2,17,0.11,2.12,0.1827,2.2,16,0.98,0.24,0.074,0.035,3.6,0.15,0.9,8.6,0.95,0.9,0.3,4.2,0.26,37,15,1.24,0.9,0.14,0.11,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG47/063,29,0.027,80.4,0.17,78,11.61,1.14,80.1,1.57,26.01,10300,2.93,0.2,0.059,7.3,52.8,35,0.1,2.14,0.2034,3.2,25,4.97,0.25,0.06,0.024,6.8,0.15,1.3,11.4,1.35,1.3,0.4,5.5,0.32,36.4,78,1.4,1.1,0.36,0.06,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG73/088,78,0.045,34.3,0.57,28,30.02,1.19,75.1,0.4,27.44,7900,0.64,0.25,0.017,2.8,15.8,14,0.47,0.44,0.1078,0.6,7,5.27,0.15,0.046,0.032,6.9,0.15,0.4,4.6,0.51,0.5,0.1,4.6,0.16,14.6,40,1,1.7,0.07,0.11,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG73/092,613,0.143,62.4,1.92,72,82.72,1.53,285,1.49,31.02,13000,0.7,0.62,0.058,4.9,26.7,41,0.38,2.26,0.1866,4.1,24,2.12,0.41,0.026,0.037,4.2,0.15,0.4,15.6,1.5,1.5,0.4,6.4,0.39,37.2,18,0.75,1.8,0.56,0.21,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG73/093,342,0.062,148.7,1.02,39,51,1.28,196.3,0.73,28.46,10200,0.7,0.2,0.032,4.6,22.7,16,0.25,1.45,0.1293,2.1,15,2.09,0.16,0.018,0.046,3.9,0.7,0.4,7.5,0.65,0.6,0.2,5.6,0.19,15.2,20,1.57,1.7,0.23,0.15,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG73/095,4024,0.326,309.1,10.19,65,70.6,1.36,191.9,1.19,33.7,16100,0.66,0.2,0.046,6.7,19.5,15,0.26,1.42,0.0786,2.9,23,1.25,0.5,0.023,0.029,4.5,0.3,0.6,12.1,1.24,1.1,0.3,4.6,0.36,58.5,10,1.15,3.5,0.77,0.21,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG73/102,804,0.132,307.3,2.05,57,61.76,1.23,292.3,1.05,34.43,12700,0.84,0.13,0.045,5.7,34.3,26,0.29,1.18,0.181,2.4,22,1.41,0.26,0.024,0.036,5.3,0.5,2.6,14.4,1.13,1.2,0.4,5.3,0.43,27,14,1.55,2.6,0.33,0.24,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG73/103,626,0.139,1042.4,2.11,202,54.09,2.6,430.2,3.88,25.54,12000,1.37,0.49,0.163,34.8,137.2,75,0.42,2.3,0.2374,10.5,69,2.31,1.2,0.024,0.03,7.8,0.15,2.6,50.1,4.1,3.6,1,10,1.55,108.8,25,3.29,3,1.66,0.41,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG73/104,314,0.081,73.7,1.15,39,42.18,1.39,289.9,0.65,38.88,8400,0.78,0.17,0.026,6.1,27.8,17,0.38,1,0.163,1.4,13,2.48,0.14,0.021,0.034,4.8,0.3,0.7,8.8,0.69,0.8,0.2,5.6,0.25,15,21,0.99,2.8,0.15,0.18,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG73/106,295,0.144,18.1,1.04,96,149.03,2.09,394.1,2.05,30.93,11000,0.7,0.18,0.077,15.9,88.3,48,0.37,1.56,0.2004,5.4,34,1.94,0.32,0.017,0.036,7.5,0.9,1,24.3,1.9,2.2,0.5,7.8,0.7,30.1,12,1.23,2.3,0.41,0.33,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG75/146,1149,0.135,1051.3,2.11,22,121.3,2.73,255.4,1.12,31.01,11000,0.53,0.08,0.011,4.3,36.2,17,0.23,0.96,0.2118,1.1,13,3.1,0.17,0.009,0.035,2.1,0.4,0.5,3.8,0.39,0.3,0.05,3.7,0.12,15.8,30,1.07,2.6,0.23,0.24,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG75/147,802,0.219,1228,3.24,40,216,3.03,253,0.93,26.45,17400,0.62,0.19,0.025,7.1,51.8,40,0.31,0.91,0.1838,1.3,15,3.62,0.38,0.011,0.039,4,0.15,0.7,10.1,0.73,0.7,0.2,4.2,0.32,34.5,33,1.06,3.1,0.58,0.32,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG75/149,677,0.109,480.1,4.09,54,164.16,2.61,292.8,1.24,27.62,12300,0.39,0.36,0.043,22.4,175.4,37,0.95,1.06,0.1904,2.6,16,4.79,0.25,0.064,0.034,7.2,1.9,0.6,25.8,1.71,2.2,0.5,6.5,0.75,17,48,1.9,4.7,0.22,0.37,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG84/146,2216,0.385,628.6,5.97,31,89.29,2.47,115.2,0.31,39.11,12100,0.28,0.2,0.012,2.3,17.4,9,0.41,0.53,0.1173,0.7,7,2.72,0.07,0.013,0.022,2.9,0.15,1.5,3.6,0.39,0.4,0.05,2.9,0.17,7.4,33,1.21,2,0.1,0.19,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG86/114,52,0.071,98.4,0.43,38,16.06,1.27,79.4,0.47,34.82,1600,0.55,0.07,0.019,2.9,20.5,7,0.2,0.78,0.0662,1.2,9,1.52,0.06,0.009,0.031,2.6,0.15,0.8,5,0.54,0.5,0.1,3.2,0.14,7.7,16,1.64,2.4,0.07,0.17,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG90/171,6660,1.091,4701.1,25.28,264,328.17,19.12,502.1,6.99,20.17,40100,3.29,1.74,0.32,104.4,215.4,230,0.52,2.53,0.1296,21.1,117,7.5,3.25,0.066,0.047,31.2,1.3,108.5,201.1,9.42,12.1,3.9,18.4,5,245,70,3.29,12.2,3.32,0.69,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG90/172,874,0.147,1459.3,6.12,693,58.5,5.73,642.1,8.87,20.34,8800,0.42,0.06,0.476,43.7,372.1,160,0.19,3.69,0.0854,26,165,2.38,2.25,0.059,0.048,37.1,0.15,64.5,150.8,10.57,11.9,3.4,12.8,3.78,163.2,25,2.25,9.2,2.43,0.53,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG92/032,6432,0.545,218.9,31.68,90,166.55,5.17,121.6,1.59,21.35,56100,1.51,0.73,0.071,8.6,38.1,30,0.45,1.41,0.1311,3.5,26,2.18,0.9,0.013,0.029,6.4,1.2,1.5,17.8,1.84,1.6,0.4,3,0.52,114.8,40,0.87,2.7,1.42,0.21,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG92/048,3945,0.531,3903.6,11.13,67,23.85,2,185,1.56,23.86,13500,2.84,0.45,0.062,11.9,47.1,28,0.21,1.76,0.1273,4.1,25,2.16,0.62,0.011,0.028,5.7,0.6,0.4,18.5,1.57,1.6,0.4,4.7,0.6,69.1,30,0.4,2,0.85,0.25,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG92/052,67,0.037,357.4,0.21,31,24.1,1.06,158.7,0.6,30.43,2300,0.55,0.15,0.025,3.7,26.7,5,0.25,1.32,0.0855,1.7,10,1.57,0.05,0.01,0.032,3,0.15,5,8.4,0.6,0.6,0.2,4.5,0.19,6.3,18,0.72,1.7,0.08,0.09,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG92/053,565,0.058,1779,1.69,70,18.97,2.1,290.2,1.59,27.74,3800,1.27,0.07,0.067,12.5,67.5,17,0.33,2.02,0.2153,3.8,25,2.79,0.21,0.014,0.034,7.8,0.15,5.4,21.1,1.68,1.8,0.6,6.1,0.61,22.9,36,0.83,2,0.3,0.26,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG92/057,1122,0.232,0.1,6.15,54,107.37,1.85,142.1,0.99,30.43,11100,0.65,0.36,0.039,6.6,32.8,29,0.22,1.64,0.153,3.3,24,1.27,0.18,0.012,0.034,3.9,0.5,0.4,11.3,0.81,0.9,0.3,4.6,0.31,19.2,14,0.62,1.5,0.29,0.13,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG92/058,2382,0.448,112.7,19.38,48,296.81,3.75,159.5,1.14,28.3,23700,0.87,1.11,0.039,6.7,32.4,37,0.28,1.96,0.1766,2.5,24,1.18,0.28,0.019,0.039,3.1,0.3,0.2,10.8,0.58,0.9,0.3,4.4,0.35,29.9,14,0.43,0.9,0.39,0.14,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG92/059,1004,0.124,77.3,6.02,41,75.19,2.11,146.5,0.88,27.91,9500,1.48,0.45,0.03,4.6,23.2,14,0.19,1.69,0.1794,2.2,15,3.08,0.16,0.032,0.03,7.3,0.15,0.5,8.7,0.7,0.9,0.3,5.4,0.31,22.2,34,0.34,1,0.19,0.11,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG92/061,247,0.095,52.6,1.58,190,36.07,1.46,161.5,3.83,21.67,3400,0.78,0.21,0.147,17.9,127.5,62,0.16,2.81,0.1297,9,60,1.55,0.49,0.018,0.029,12.3,0.15,0.2,34.8,3.48,3.8,0.9,5.3,1.04,43,17,0.7,1,0.55,0.07,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG105/119,551,0.977,1622.2,7.45,69,272.43,4.69,56.4,0.95,22.84,74100,0.89,0.67,0.048,6.8,48.5,31,0.39,1.19,0.1291,2,16,2.33,0.44,0.021,0.028,6.8,1.2,6.3,18,1.06,2.4,0.7,3.4,0.52,39.1,44,2.53,1.7,0.5,0.12,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG105/133,1116,1.142,6614,10.21,29,303.13,5.94,57.7,0.69,29.59,96200,4.58,2.06,0.031,12.3,65,25,0.54,0.97,0.2171,1.9,12,2.82,0.36,0.007,0.034,4.7,2.9,160.3,17.6,0.98,1.1,0.3,3.6,0.47,27.5,45,0.72,1.9,0.38,0.18,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG105/134,404,0.989,1402.7,5.98,45,380.17,7,60.5,0.79,30.24,95200.01,1.31,0.74,0.039,9.6,63.8,26,0.55,1.17,0.229,2.6,16,3.64,0.35,0.006,0.042,5.9,0.8,200,11.4,0.91,1.1,0.2,5.5,0.3,24.9,49,0.69,1.5,0.32,0.15,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG109/091,4173,0.827,1186.3,17.58,76,102.97,3.71,129.5,1.47,22.2,31200,0.74,0.97,0.073,7.8,45.5,30,0.39,1.54,0.1191,3.2,23,3.33,0.69,0.015,0.031,7.8,0.9,1.2,18.9,1.72,1.8,0.5,5.3,0.42,74.2,40,0.56,2.4,0.89,0.14,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG109/094,341,0.933,10000,7.43,65,242.31,6.73,102.8,1.2,22.67,77400,3.89,1.94,0.068,11.4,46.5,17,0.4,1.57,0.1548,3.4,23,2.93,0.55,0.02,0.028,9,1.5,2.7,18.6,1.13,1.9,0.5,3.5,0.45,58.1,52,1.74,2.4,0.76,0.12,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG109/095,1083,1.378,4926,12.06,31,450.53,6.46,56.2,0.57,25.2,86000,2.27,1.3,0.029,6.2,48.3,13,0.47,1.31,0.1428,1.9,11,3,0.3,0.004,0.038,4,0.4,2.6,6.6,0.55,0.6,0.2,2.8,0.16,31.5,52,0.99,1.1,0.39,0.1,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG109/099,174,1.603,7003.3,9.48,112,323.86,10.48,48,2.29,22.62,79300,5.04,3.03,0.108,16.8,52.5,69,0.46,1.33,0.1916,5.8,37,2.93,1.14,0.041,0.029,12,0.6,9.7,31.4,2.36,2.7,0.7,4.5,0.9,55.9,55,1.92,3.3,0.48,0.23,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG109/101,105,1.458,9030.2,7.86,62,377.71,8.91,47.9,1.45,22.7,84700,5.44,2.84,0.068,13.5,49.1,51,0.37,1.28,0.1998,4.1,23,3.18,0.64,0.031,0.024,8.3,0.15,7.2,20.4,1.51,1.9,0.5,3.4,0.56,31.1,61,1,2.3,0.25,0.17,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG109/102,156,1.729,8125,7.79,66,467,8.65,55.3,1.5,26.73,99799.99,5.15,2.58,0.07,18.6,58.2,49,0.53,1.25,0.1965,4.1,25,3.11,0.74,0.02,0.025,4.3,0.4,6.6,18.8,1.48,1.4,0.5,3,0.54,37.3,60,0.74,2.3,0.32,0.18,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG109/104,153,0.926,704.3,4.4,32,524.57,4.67,22.5,0.68,24.9,86100,0.7,0.65,0.033,4.3,49.2,32,0.27,0.74,0.1264,1.9,12,1.98,0.34,0.011,0.03,2.9,0.3,143.6,8.7,0.74,0.7,0.2,2.1,0.23,15.2,40,0.63,1.1,0.13,0.13,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/128,430,1.489,2434.7,11.62,127,326.07,13.18,127.8,2.54,26.73,79000,3.19,1.67,0.125,19.3,63.3,105,0.74,2.25,0.1621,7.5,48,3.48,1.33,0.013,0.024,7.6,0.9,5.5,35.3,2.3,2.4,0.7,4.3,0.86,112.8,69,1.51,4.8,1.52,0.22,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/134,1383,2.242,228.4,10.23,22,690.36,5.59,35.4,0.28,29.83,86500,0.29,0.2,0.012,7.5,64.1,22,0.6,0.97,0.1276,0.7,6,2.64,0.15,0.014,0.028,1.6,1.6,200,4.2,0.47,0.3,0.05,2.6,0.11,11.1,46,0.93,0.6,0.14,0.11,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/135,216,0.98,247.8,4.4,20,596.12,4.51,25.4,0.19,28.36,86400,0.31,0.27,0.007,5.4,55.6,12,0.5,1.12,0.1534,0.8,4,3.05,0.08,0.004,0.037,1.8,1.2,1.9,2.7,0.27,0.2,0.05,2.1,0.07,4.5,54,0.97,0.3,0.06,0.08,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/137,219,1.933,4568.7,8.09,39,365.97,5.81,37.1,0.68,22.68,74600,3.86,3.03,0.027,16.5,50.2,30,0.47,1.28,0.1743,2.2,11,3.2,0.29,0.015,0.035,4.5,0.4,7,9.5,0.7,0.9,0.2,2.7,0.26,15,61,1.03,1,0.16,0.11,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIQUINHO,FJG112/138,93,2.101,9438.5,10.08,99,357.23,8.1,59.5,2.01,25.14,88900,10.05,5.62,0.092,17.8,58,46,0.59,1.22,0.1549,5.5,32,2.75,0.94,0.034,0.03,9.3,1,8.9,30.9,2.59,2.5,0.6,3.6,0.81,43.7,54,1.6,3.7,0.37,0.21,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
