Body,Sample,Co_ppm,Ni_ppm,Al_pct,Ti_pct,S_ppm,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Sn_ppm,Sr_ppm,Th_ppm,Be_ppm,Tl_ppm,U_ppm,W_ppm,Y_ppm,Zr_ppm,Cs_ppm,Ga_ppm,Hf_ppm,In_ppm,Rb_ppm,Re_ppm,Mg_pct,Mn_pct,Mo_ppm,Nb_ppm,Sb_ppm,Sc_ppm,Ta_ppm,Te_ppm,V_ppm,Ca_pct,K_pct,La_ppm,Li_ppm,Na_pct,P_pct,Se_ppm,Ba_ppm,Cd_ppm,Fe_pct,Cr_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/184,42.2,83.2,1.64,0.151,46400,1080,1.481,0.9,12.96,1528.97,5.38,130.9,2,34,0.6,0.5,1.51,0.2,0.6,4.4,23.3,33.5,7.43,0.65,0.1,110.7,0.001,2.14,0.1152,0.31,1.76,0.1,6.9,0.1,0.75,50,2.24,1.28,3.5,9.8,0.015,0.035,0.15,37,0.4,22.01,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/192,10.6,63.5,2.56,0.096,69400,1435,1.359,2.4,26.28,821.6,6.96,157.5,3.1,32,2.3,1,2.41,0.6,0.4,3.9,26.9,67.4,10.61,0.59,0.22,185.8,0.003,2.58,0.0891,0.4,2.46,0.08,6.4,0.2,2.36,40,1.58,1.93,5.6,26.1,0.01,0.032,0.15,54,0.63,24.66,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/193,12.1,74.8,1.69,0.073,76500,1659,1.689,0.9,23.58,1096.1,6.31,108.4,2.1,22,1.5,1,1.66,0.4,0.3,2.8,18.3,41.2,6.67,0.53,0.16,117.6,0.006,1.78,0.0686,1.98,1.52,0.06,4.5,0.1,1.09,36,1.19,1.36,4.2,16.6,0.006,0.026,0.15,20,0.46,26.46,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG115/194,14.2,89.6,1.03,0.039,87800,1257,1.585,1.5,13.27,1131.75,5.25,82.6,1.2,32,1,0.5,0.98,0.2,0.1,2.6,11.3,23.9,4.03,0.32,0.1,69.9,0.005,1.49,0.0998,0.46,0.97,0.07,3,0.05,0.88,23,2.12,0.74,2.5,11.1,0.004,0.015,0.4,192,0.62,30.36,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG119/191,16.8,64.2,2.13,0.09,62400,2368,1.239,114.8,17.24,1247.47,5.29,169.3,2.6,33,1.6,1,1.61,0.4,0.3,4.2,19.5,40.1,8.14,0.52,0.19,113.2,0.001,2.2,0.1126,0.54,2.04,0.15,5.4,0.1,0.97,32,2.46,1.3,5.7,15.6,0.012,0.027,0.6,21,0.49,21.72,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/174,18.3,72.8,1.92,0.078,57000,2477,2.192,98.4,27.68,1439.49,9.92,94.5,3,111,1.6,0.5,1.45,0.4,1.7,3.7,19.2,38.3,6.92,0.52,0.16,114.8,0.004,1.46,0.1234,0.9,1.9,0.28,4.1,0.2,1.01,29,2.24,1.31,5.4,21,0.076,0.028,1.2,44,0.56,24.2,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/175,16.1,89.9,1.28,0.053,79200,288,2.106,3.4,13.86,1650.35,10.53,58.7,1.8,111,1.2,1,0.99,0.2,0.5,4.8,12.4,26.7,4.03,0.59,0.12,76.7,0.001,1.05,0.123,1.01,7.77,0.12,2.8,0.05,2.41,24,3.47,0.85,4.6,13.7,0.021,0.028,1.6,64,0.53,27.31,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/176,15.2,85.8,1.77,0.077,67600,79,2.135,2.1,11.33,1364.89,10.29,79,2.3,111,1.8,1,1.32,0.3,0.8,3.3,19.4,31.4,5.42,0.5,0.14,106.2,0.004,1.34,0.0604,1.36,1.73,0.15,3.9,0.2,1.33,40,1.61,1.21,5.4,18,0.021,0.028,2.3,115,0.4,25.53,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/177,18.9,100.4,0.9,0.042,95200.01,50,2.898,3,14.68,2189.16,11.56,41.4,1.7,111,1,0.5,0.47,0.2,2.7,3,16.2,11.5,2.91,0.4,0.12,39.8,0.001,0.88,0.106,1.24,0.98,0.13,2,0.05,1.69,18,2.45,0.54,4.2,7.9,0.025,0.028,3,42,0.63,29.5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG40/178,19.1,103.2,0.9,0.047,82500,36,2.411,1.1,13.04,1645.14,11.09,34.5,1.8,111,0.9,0.5,0.35,0.2,3,2.8,13.5,7.8,3.25,0.33,0.12,31.6,0.001,1.04,0.1181,1.95,0.96,0.18,2.5,0.05,0.89,21,2.36,0.47,4,8,0.023,0.031,1.7,39,0.64,29.13,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
