Body,Sample,Co_ppm,Ni_ppm,Al_pct,Ti_pct,S_ppm,Au_ppb,Ag_ppm,As_ppm,Bi_ppm,Cu_ppm,Pb_ppm,Zn_ppm,Sn_ppm,Sr_ppm,Th_ppm,Be_ppm,Tl_ppm,U_ppm,W_ppm,Y_ppm,Zr_ppm,Cs_ppm,Ga_ppm,Hf_ppm,In_ppm,Rb_ppm,Re_ppm,Mg_pct,Mn_pct,Mo_ppm,Nb_ppm,Sb_ppm,Sc_ppm,Ta_ppm,Te_ppm,V_ppm,Ca_pct,K_pct,La_ppm,Li_ppm,Na_pct,P_pct,Se_ppm,Ba_ppm,Cd_ppm,Fe_pct,Cr_ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/213,11.6,53.5,1.45,0.093,36600,3993,0.968,2.8,15.39,456.21,6.88,215.4,1.8,111,0.9,0.5,1.33,0.2,0.4,5.4,14.4,36.2,8.54,0.4,0.31,93.3,0.001,2,0.1336,0.54,1.29,0.15,5.1,0.05,0.56,38,1.93,1.07,4.9,10.3,0.012,0.038,0.5,52,0.46,25.63,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/214,3.1,19.7,0.7,0.032,13800,2424,0.544,1,6.4,150.61,4.27,128.5,1.4,111,0.7,0.5,0.8,0.2,0.3,4.5,7.2,20,8.31,0.22,0.14,51.9,0.001,1.13,0.1055,0.52,0.6,0.22,1.8,0.05,0.27,12,2.57,0.52,3.2,4.2,0.007,0.035,0.15,38,0.45,31.39,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/216,13.7,80.2,0.59,0.022,100000,877,1.509,2.1,12.82,1045.9,5.15,41.6,0.6,111,0.5,0.5,0.5,0.1,0.1,3,5.4,11.7,2.23,0.16,0.09,34,0.009,0.87,0.0676,0.78,0.64,0.05,1.3,0.05,1.82,12,2.02,0.37,2.3,3.6,0.009,0.027,2.4,21,0.39,32.53,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/228,19.9,98.1,1.81,0.083,87500,5297,1.449,159.1,41.55,1420.41,9.61,93.4,2.9,111,1.8,0.5,1.11,0.5,12.3,3.9,22.3,23.3,8.13,0.56,0.21,80.1,0.004,1.24,0.1146,0.75,1.91,0.2,4.9,0.1,2.12,33,2.35,1.15,7.6,18.1,0.139,0.021,2.1,32,0.71,30.04,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/229,27.4,95.6,1.29,0.056,83300,1398,1.706,201,32.87,1653.65,12.71,52.7,2.4,111,1.4,1,0.52,0.3,2.8,3.8,13.4,8.4,5.2,0.38,0.14,45,0.004,1.1,0.1322,0.67,1.22,0.57,3,0.1,0.65,28,2.65,0.76,5.2,13.5,0.02,0.033,1.2,38,0.5,30,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/231,22.1,89,2.38,0.104,75300,887,2.268,119.9,33.45,1374.62,20.75,72.6,4.4,111,2.4,1,1.06,0.6,5,4,23.2,17.2,9.06,0.71,0.22,88.1,0.007,1.48,0.1133,1.24,2.32,0.31,5.8,0.2,0.6,41,2.05,1.43,8.6,26.7,0.039,0.035,1.3,43,0.51,25.98,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/232,32.6,81.8,1.19,0.052,79900,2027,3.191,741.3,44.91,1355.03,25.16,41,2.5,111,1.3,0.5,0.48,0.3,2.8,4,13.6,6.4,6.05,0.41,0.13,36.2,0.002,1.05,0.1292,0.78,0.99,0.93,2.9,0.05,1.14,22,2.67,0.71,6.5,12.5,0.015,0.04,1.4,48,0.51,25.17,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/233,20.6,79.4,1.18,0.043,73100,856,2.266,48,28.96,1576.57,17.47,35.9,2.3,111,1.4,1,0.32,0.3,3.8,4.8,15.2,4.7,5.72,0.42,0.17,32.2,0.001,0.82,0.1388,0.79,1.17,0.35,2.9,0.1,0.75,21,3.74,0.67,5.4,11.7,0.045,0.035,0.9,78,0.65,22.36,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/237,19.9,89.8,2.2,0.097,75100,1774,1.424,4.4,29.27,1315.8,9.05,92.8,2.3,111,2.3,1,0.91,0.6,12.6,8.3,26.9,22.7,9.17,0.67,0.16,71.3,0.006,1.21,0.1067,1.52,2.06,0.1,5.2,0.2,1.61,39,4.63,1.08,9.4,19.1,0.059,0.03,1.1,51,0.44,24.83,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/252,17.3,88.8,0.72,0.036,63200,712,2.481,1.5,18.01,2873.88,4.74,54.8,0.7,111,1,0.5,0.22,0.2,1.3,4.7,12,6.5,2.51,0.3,0.08,17.6,0.001,0.99,0.1276,1.21,1.02,0.06,2.8,0.05,1.16,16,3.4,0.25,5.4,6.1,0.013,0.055,1.1,16,0.47,21.67,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/253,27.6,93.9,1.56,0.068,76600,531,2.687,358.2,20.45,2229.01,7.27,77.8,2.4,111,1.6,0.5,0.66,0.4,7,4.1,19.4,14.2,5.6,0.56,0.12,53.1,0.001,1.18,0.0818,1.31,1.52,1.14,4.2,0.1,1.87,29,2.2,0.86,6.7,17.4,0.023,0.036,1.1,53,0.43,24.58,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/254,30.4,124.6,1.89,0.063,100000,144,2.352,601.8,12.37,2222.91,8.17,64.6,2.9,111,1.2,0.5,0.47,0.3,5.1,3.4,16.1,7.9,6.47,0.53,0.11,44.1,0.001,1.18,0.0995,0.83,1.48,0.64,3.8,0.1,1.19,29,2.26,0.92,6.1,14.5,0.106,0.036,1,42,0.41,32.22,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/255,23.7,113.5,1.12,0.05,80900,289,2.275,6.8,27.43,1867.59,12.61,39.1,1.8,111,1,1,0.34,0.2,2.4,4.5,12.8,7.6,3.62,0.32,0.09,27.6,0.001,1.52,0.1609,0.81,1.24,0.12,3.6,0.05,0.48,23,3.5,0.49,4.7,10,0.044,0.047,0.7,44,0.45,30.22,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/256,23.3,110,1.47,0.069,78100,209,2.696,77.2,19.8,1907.69,11.49,57.6,3,111,1.7,0.5,0.45,0.3,6,5.2,16.7,7.4,5.26,0.45,0.1,39.6,0.004,1.22,0.1236,0.92,1.59,0.32,4.1,0.2,0.26,31,3.32,0.73,7.2,14.4,0.027,0.044,1.2,61,0.52,28.1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/257,22.5,111.9,1.42,0.066,76800,73,2.075,2.7,18.26,1486.54,12.01,38.6,2.7,111,1.7,0.5,0.39,0.3,4.5,3.2,18.3,7.6,5.04,0.48,0.09,39.2,0.001,1.13,0.0983,0.99,1.43,0.11,3.9,0.1,0.29,31,2.26,0.79,5.4,13,0.04,0.03,0.5,28,0.36,28.59,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/258,28.2,139.8,1.07,0.064,100000,61,2.428,4.1,22.49,1819.63,13.66,33.7,2.3,111,4.6,1,0.31,0.6,5.9,7.5,29.9,5.9,3.93,0.83,0.1,27.5,0.001,1.02,0.1325,1.47,2.39,0.13,3.7,0.2,1.23,21,3.9,0.54,21,9,0.019,0.039,1.2,49,0.65,34.2,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/259,22.5,105.9,1.1,0.056,83000,28,2.665,4.5,16.13,2004.82,11.82,37.1,1.5,111,1.7,0.5,0.29,0.3,4.7,5.7,16.5,5.6,4.38,0.5,0.12,25,0.003,1.18,0.144,0.93,1.39,0.12,3.4,0.1,0.94,22,4.08,0.5,10.5,5.5,0.026,0.047,0.8,50,0.56,26.6,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/261,16.9,80.7,2.67,0.108,64700,22,2.152,1.8,9.86,1543.84,10.33,78.1,4,111,2,1,1.23,0.5,3.2,4.3,23.1,17.6,9.09,0.68,0.16,99.7,0.003,1.71,0.1035,1.2,1.77,0.11,6.2,0.1,0.17,50,2.33,1.53,8.3,27.7,0.017,0.029,1.4,64,0.45,23.36,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/262,21.2,104,1.6,0.072,76100,52,2.18,3.1,13.12,1953.25,10.63,49,3.2,111,1.6,0.5,0.49,0.3,5,3.5,18.1,6.6,5.67,0.47,0.12,44.6,0.001,1.33,0.1367,0.98,1.34,0.12,4.1,0.1,0.57,36,2.57,0.87,6.4,14.1,0.012,0.032,1.3,62,0.49,27.44,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/263,21.2,106.4,1.38,0.053,78400,45,2.457,2.9,15.35,2079.2,12.67,42.3,2.8,111,1.2,2,0.34,0.2,6.1,3.2,13,3.8,5.08,0.37,0.09,27.8,0.001,1.22,0.1303,0.87,1.19,0.14,4.1,0.05,0.32,29,2.52,0.61,4.6,8,0.018,0.036,1,56,0.6,28.54,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/264,22.9,112.4,1.24,0.057,86200,47,2.763,2.9,15.96,2341.6,11.05,46.4,2.7,111,1.4,1,0.35,0.2,23.3,3.1,15.3,5.8,4.4,0.49,0.09,27.8,0.005,1.15,0.1071,1.01,1.2,0.13,3.5,0.1,0.46,28,2.38,0.58,7,10,0.011,0.037,1.1,58,0.63,28.73,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/265,19.7,100.5,1.58,0.055,76500,101,1.834,2.1,12.79,1554.85,11.74,48.8,3,111,1.2,2,0.46,0.3,4.7,3.8,15.3,8.6,4.95,0.36,0.13,42.8,0.007,1.24,0.1198,0.97,1.12,0.1,3.8,0.05,0.32,34,2.66,0.79,5.8,13.9,0.05,0.031,1,53,0.55,27.48,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG86/267,20.1,101.4,0.83,0.033,76400,2393,2.23,27.2,19.04,1918.23,7.74,43.5,1.5,111,0.7,0.5,0.41,0.2,12.3,3.1,8.2,9.2,3.76,0.21,0.1,30.3,0.001,0.88,0.0953,0.95,0.75,0.12,2.3,0.05,0.37,16,2.34,0.46,3.5,6.6,0.01,0.028,1.2,32,0.48,30.95,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG88/184,17.6,60.4,0.68,0.018,56200,1703,0.989,1.4,15.12,1021.92,4.69,82.3,1.4,111,0.5,0.5,0.21,0.05,1.2,4.4,4.1,29.7,4.24,0.12,0.08,33.5,0.001,0.61,0.0974,1.2,0.46,0.36,1.2,0.05,0.98,12,5.89,0.29,3.7,1.5,0.068,0.031,1.2,30,0.38,30.55,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG90/239,14.8,84.8,2.35,0.095,83000,4307,1.355,970.3,25.63,966.38,4.82,137.8,3.3,111,1.9,1,1.87,0.5,0.7,4.7,27.4,51.9,7.62,0.75,0.13,129.1,0.001,1.4,0.1107,0.57,2.22,0.86,5,0.2,3.37,35,1.85,1.48,6.1,16.1,0.14,0.027,0.6,70,0.44,26.82,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG90/241,16,78.1,2.19,0.077,90700,2306,1.222,1767.1,12.4,985.77,6.11,131.2,2.5,111,1.6,2,1.46,0.4,2.4,5.3,20.4,38.8,6.78,0.53,0.16,99.9,0.003,1.5,0.1611,0.53,1.67,1.69,4.5,0.1,1.25,33,2.7,0.97,6.3,9.2,0.278,0.022,2.2,72,0.52,26.21,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG92/129,55.2,203,2.39,0.107,59300,1541,1.38,7.6,31.27,1391.88,8.89,138.8,2,111,2.1,0.5,0.79,0.5,1.5,11.6,24.4,29.1,5.75,0.68,0.14,67.4,0.005,1.06,0.1115,0.61,2.51,0.17,6.5,0.2,0.86,39,4.71,0.97,20.1,11.9,0.238,0.039,0.5,76,0.39,23.99,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG101/123,8.3,50,0.92,0.054,5700,509,0.11,26.7,2.7,43.3,2.27,195.2,1.7,11,0.6,0.5,0.29,0.2,0.5,4.8,10.2,11.9,3.64,0.29,0.16,21.5,0.001,1.58,0.1237,0.35,0.83,0.26,3.1,0.05,0.21,21,2.2,0.27,3.1,3.4,0.023,0.038,0.15,35,0.27,26.88,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG101/127,10.6,63,1.82,0.081,2900,43,0.045,1.4,0.38,67.21,4.46,480.2,4.2,11,1.9,0.5,0.43,0.5,0.2,6.3,20.5,34.2,7.35,0.53,0.48,43.9,0.001,1.65,0.2116,0.86,1.78,0.39,4.3,0.1,0.15,28,2.68,0.47,7.5,5.4,0.103,0.03,0.5,80,0.53,26.95,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG101/128,11.1,82.5,1.91,0.076,2100,49,0.044,12.6,0.45,42.37,3.1,519,3.4,11,1.7,0.5,0.42,0.5,0.5,5.9,21.3,27.6,8.05,0.62,0.77,42.1,0.001,1.55,0.2294,0.95,1.64,0.42,4.4,0.2,0.08,29,2.93,0.41,6.8,5.2,0.048,0.036,0.15,68,0.61,28.24,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG101/133,10.3,66.6,1.52,0.062,2600,27,0.056,1.9,0.34,65.66,2.7,252.8,5.1,11,1.4,0.5,0.33,0.4,0.2,6.1,16.9,27.8,7.74,0.46,0.42,36.1,0.004,1.19,0.1426,1.07,1.37,0.47,3.5,0.05,0.09,26,2.38,0.36,4.8,3.7,0.064,0.033,0.15,62,0.24,32.67,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG101/134,19.2,125.8,2.47,0.108,5300,99,0.075,2.1,0.72,95.38,4.27,231.3,3.3,11,2.5,0.5,0.42,0.6,0.3,9.8,32.4,29.1,12.86,0.75,0.45,42.7,0.004,1.65,0.22,1.44,2.78,0.35,7.1,0.2,0.18,43,3.74,0.46,9.4,4.6,0.029,0.037,0.9,60,0.44,24.54,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG105/186,7.6,18.7,0.46,0.02,4300,517,0.128,2.3,1.81,18.74,2.9,128.6,1.6,11,0.4,0.5,0.18,0.1,0.7,4.4,4.9,21.7,3.45,0.13,0.13,28.1,0.003,0.89,0.0852,0.32,0.56,0.49,0.9,0.05,0.12,11,3.27,0.25,2.4,0.9,0.048,0.034,0.15,32,0.24,32.45,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/166,11,78.9,2.24,0.093,3100,299,0.04,960.4,1.11,14.76,3.98,446.2,2.1,11,2,0.5,0.54,0.5,0.7,5.8,24.2,42.8,7.77,0.64,0.46,47.4,0.004,1.61,0.2104,0.43,1.96,0.32,5.6,0.2,0.1,35,1.59,0.62,7.2,9.2,0.53,0.033,0.9,92,0.38,26.56,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/167,8.1,43.3,1.44,0.058,8300,1640,0.118,7251,6.43,17.91,4.34,289.3,1.5,11,1,0.5,0.24,0.4,7.2,5.4,12.9,18.2,6.51,0.39,0.25,21.5,0.001,1.11,0.1742,0.63,0.94,1.84,3.1,0.1,0.45,21,2.44,0.27,3.7,4.4,0.388,0.03,0.5,36,0.29,26.31,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/168,11.6,74.6,2.85,0.092,3600,185,0.073,1685.1,0.7,11.57,3.18,411.5,2.9,11,1.8,0.5,0.74,0.5,0.2,5.5,22.8,48.5,8.81,0.74,0.42,62.9,0.004,1.64,0.1619,0.76,1.89,0.49,4.9,0.2,0.14,33,1.52,0.78,4.3,14.4,0.306,0.032,0.15,94,0.27,25.32,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/169,8.8,52.3,2.87,0.119,20900,1762,0.317,390.7,7.59,142.13,6.49,311.3,3,11,2.2,0.5,1.71,0.6,0.3,8.2,29.9,78.3,8.91,0.86,0.31,127.7,0.003,1.92,0.192,0.61,3.17,0.28,5.6,0.3,0.42,34,3.29,1.35,6.7,14,0.239,0.029,0.4,120,0.58,22.46,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/173,7.4,31.4,0.65,0.028,2500,315,0.076,1.9,1.45,13.46,3.05,121.9,1.5,11,0.5,0.5,0.33,0.1,0.5,8.5,5.9,19.6,3.77,0.15,0.17,28.1,0.001,1.41,0.1517,0.26,0.55,0.27,1.8,0.05,0.15,12,3.83,0.28,5.3,2.4,0.079,0.039,0.15,36,0.3,24.9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/175,3.3,15.4,0.38,0.014,1600,94,0.049,5.6,0.65,17.49,3.88,70.3,2,11,0.3,0.5,0.17,0.05,4,3.8,4.1,8,2.59,0.09,0.12,12.8,0.001,0.53,0.05,0.43,0.41,0.22,1,0.05,0.18,6,2.96,0.14,2,1.4,0.075,0.028,0.5,17,0.31,32.38,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/179,11.6,80.2,1.74,0.075,3200,132,0.056,1883.5,0.63,39.54,4.53,302.2,2.7,11,1.9,0.5,0.28,0.5,52,7.8,22.1,28,6.63,0.63,0.23,34.3,0.003,1.54,0.192,1.63,1.65,0.7,4.8,0.1,0.58,26,3.69,0.38,6.7,7.2,0.139,0.028,0.3,65,0.51,24.68,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/181,9.3,70.4,2.3,0.089,1600,42,0.046,338.5,0.25,17.65,3.96,445.4,4.4,11,1.9,0.5,0.4,0.5,0.5,5.8,26.4,52.7,7.76,0.66,0.41,53,0.001,1.49,0.1677,0.98,2.19,0.65,4.7,0.2,0.05,33,1.66,0.65,6.5,8.3,0.281,0.028,1,100,0.32,27.2,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/182,14.8,98.1,2.3,0.107,2400,52,0.052,188.8,0.41,38.58,4.64,894.7,5.6,11,2.4,0.5,0.43,0.6,0.6,8.4,33,51,9.44,0.94,0.62,56.4,0.001,1.51,0.2168,1.73,2.42,0.56,5.9,0.2,0.24,32,2.64,0.66,9.9,8.3,0.229,0.032,0.4,99,0.45,24.89,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/183,10.8,54,1.13,0.048,1700,36,0.052,94.7,0.28,31.54,4.47,686.1,4.9,11,1.5,0.5,0.18,0.3,0.4,6.4,12.3,23.1,5.11,0.34,0.24,27.2,0.003,1.2,0.212,1.34,1.11,0.49,3,0.05,0.36,18,3.35,0.28,7.8,3.6,0.226,0.035,0.15,43,0.47,28.25,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/186,8.4,42.7,1.09,0.046,1600,36,0.049,2,0.35,35.54,3.62,289.2,3.2,11,1.1,0.5,0.17,0.3,0.3,6.5,15.2,23.4,6.07,0.39,0.3,28,0.001,0.9,0.1735,1.15,1.18,0.3,2.5,0.05,0.06,14,2.73,0.29,4.8,2.7,0.138,0.035,0.15,43,0.45,29.88,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/189,23.4,128,2.83,0.141,3800,60,0.064,43.3,0.61,59.31,6.1,321.6,2.4,11,3.7,0.5,0.57,1,0.4,10.6,41.5,34.1,13.4,1.17,0.48,52.9,0.001,1.76,0.2708,2.15,3.08,0.31,7.8,0.2,0.8,47,4.76,0.59,13.8,9,0.028,0.038,0.15,90,0.62,24.53,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/191,4.1,24.4,0.49,0.022,1500,48,0.034,0.6,0.17,23.67,3.6,116.5,1.9,11,0.6,0.5,0.025,0.2,0.3,7.7,6.8,2.6,3.08,0.15,0.23,3.7,0.001,0.47,0.1144,0.88,0.49,0.17,1.4,0.05,0.13,8,5.6,0.03,6,1.3,0.008,0.028,0.15,5,0.37,31.07,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/192,18.6,90.2,1.91,0.067,40100,2211,0.455,210,11.68,455,6.46,210.5,1.5,11,1.7,0.5,0.38,0.5,0.3,9.7,17.8,14.9,7.62,0.48,0.38,35.6,0.005,1.17,0.2029,0.95,1.6,0.31,4.2,0.1,0.81,35,5.39,0.41,7.4,3.6,0.017,0.052,1.8,52,0.49,23.37,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMENTÃO,FJG109/193,6.3,39.8,1.12,0.051,3800,58,0.051,50.6,0.51,52.04,2.43,189.7,2.5,11,1.2,0.5,0.16,0.4,1.5,7.4,14.4,11.6,9.85,0.33,0.41,18.3,0.001,0.81,0.17,0.99,1.08,0.27,3,0.05,0.16,18,3.83,0.18,6,2.1,0.021,0.044,0.15,21,0.34,30.27,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
