Unique_ID﻿,SampleID,Location,Reference(s),Plume,Geochemical affinity1,Lat,Lon,Age,Age_rounded,SiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,SO3,L.O.I,SUM(volatile free),Unnamed: 21,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Mo,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Th,U,Unnamed: 62,143Nd/144Nd,2s_Nd,87Sr/86Sr,2s_Sr,206Pb/204Pb,2s_206Pb,207Pb/204Pb,2s_207Pb,208Pb/204Pb,2s_208Pb,176Hf/177Hf,2s_Hf,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,87Sr/86Sr_i,143Nd/144Nd_i,176Hf/177Hf_i,143Nd,Delta_DM
345,SO233DR62-2_LA,Walvis Ridge,Homrighausen et al. (2019),Tristan,tholeiitic,-25.85,6.615833333,84.2,80,51.39056441,12.5066174,14.27144657,0.22929161,4.692813452,9.130894282,3.110450792,1.083401088,3.204947591,0.367723649,0.011849154,,99.98815085,,8.089220485,36.99511954,440.5917804,8.159846315,42.73932002,26.73963571,289.6502064,161.7534124,23.64034527,22.50967177,329.2761753,40.52100261,245.9478027,24.1320057,1.1916784,2.498770682,0.04237138,0.169651964,335.4130498,28.18459637,61.59675599,8.045516688,34.96073642,8.110115692,2.561926692,8.460110572,1.279574685,7.633105658,1.475962804,4.132160025,0.563315027,3.688678143,0.517179608,6.039835628,1.417870422,0.254305014,0.187341905,3.491154235,2.600285807,0.512026868,,0.512525647,3.78E-06,0.705256176,4.67E-06,18.13877515,0.000785787,15.59001892,0.000881984,38.65668205,0.002806493,,,18.01648471,15.5841862,38.45291867,0.705019611,0.512448736,,0.512448736,-10.70341884
346,V29-11-1,Walvis Ridge,Hoernle et al. (2015),Tristan,tholeiitic,-26.15,5.5833,83.16327177,80,55.16876521,15.92424082,12.26264311,0.1163898,4.158290128,0.984022855,4.518040419,0.613691673,4.274679928,0.613691673,,5.3,98.63445561,,41.00712281,38.19768733,397.9605228,12.01173988,19.17762209,41.0348922,68.43875405,108.6526766,25.15493485,9.812837182,130.5259978,42.61420261,317.7911693,28.72950575,1.546518896,2.722286843,2.208750005,0.418805786,128.9996659,43.8204972,86.31160853,11.59519898,48.43395853,10.33966788,3.412610467,9.722960728,1.412103213,8.212650486,1.601171426,4.260238585,0.605609119,3.898547155,0.566712273,7.140033035,1.594278314,0.652876172,0.914814425,4.002436199,3.097469077,0.766612518,,0.51250277,0.00000325,0.7047238,0.000003,17.9811131,0.001035,15.55285291,0.000925,38.42266989,0.00247,0.2827742,,17.824308,15.54537725,38.2147862,0.704466859,0.512432864,0.282774076,0.512432864,-11.01282154
347,WalvisIIIDR04-35,Walvis Ridge,Hoernle et al. (2015),Tristan,tholeiitic,-27.26,4.39167,66.84,70,48.38778561,18.93017297,12.92153534,0.128122998,2.47704463,7.527226137,3.373905616,1.644245142,2.178090967,0.992953235,,6.1,98.56108264,,22.84053471,39.2899896,226.5945739,202.1661077,27.73124557,47.16791045,109.9942616,155.8425853,20.74936473,27.31655343,425.4160887,50.37304288,179.462328,14.22152998,1.241616799,1.539722893,4.271378236,0.860867432,201.0002473,27.34606888,38.65048808,6.517996271,28.75297223,6.921374154,2.287637936,7.913336206,1.238173329,7.610068099,1.550545226,4.138189746,0.58489793,3.709108822,0.546035914,4.273980515,0.807739613,0.599852427,0.249503978,1.943100775,1.782733471,0.654751173,,0.512649428,0.00000256,0.7046777,0.000003,18.05871609,0.000795,15.56346182,0.000873,38.49373069,0.002491,0.2828411,,17.83679968,15.55295441,38.29530214,0.70450134,0.512586078,0.282840907,0.512586078,-8.309110305
348,s 65104 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512483,,,,,,,,,,,,,,,0.706111,,,0.512483,-12.29746216
349,s 65151 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512508,,,,,,,,,,,,,,,0.705991,0.512507,,0.512507,-11.82972985
350,s HE43 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51252,,,,,,,,,,,,,,,0.705966,,,0.51252,-11.57637484
351,s 65030 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512537,,,,,,,,,,,,,,,0.705811,,,0.512537,-11.24506445
352,s 65143 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512549,,,,,,,,,,,,,,,0.705673,0.512548,,0.512548,-11.03068714
353,s 65082 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512569,,,,,,,,,,,,,,,0.705645,0.512568,,0.512568,-10.64091021
354,s 69287 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512527,,,,,,,,,,,,,,,0.705514,,,0.512527,-11.43995291
355,s 65085 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512604,,,,,,,,,,,,,,,0.705481,0.512603,,0.512603,-9.958800578
356,s H61 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512648,,,,,,,,,,,,,,,0.705343,0.512647,,0.512647,-9.101291331
357,s HC27 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512592,,,,,,,,,,,,,,,0.705338,,,0.512592,-10.17317789
358,s 65001 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51263,,,,,,,,,,,,,,,0.705333,0.512629,,0.512629,-9.452090569
359,s 65183 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512642,,,,,,,,,,,,,,,0.70531,,,0.512642,-9.198735564
360,s 69289 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512602,,,,,,,,,,,,,,,0.70531,,,0.512602,-9.978289425
361,s H10 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512618,,,,,,,,,,,,,,,0.705232,0.512617,,0.512617,-9.685956727
364,s BM64986 ,Heard Island,,Kerguelen,,-53.12,73.33,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512582,,,,,,,,,,,,,,,0.705547,0.512581,,0.512581,-10.3875552
365,"s BM1967,P9 ",Heard Island,,Kerguelen,,-53.12,73.33,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512597,,,,,,,,,,,,,,,0.705408,0.512596,,0.512596,-10.0952225
366,s 69244 ,Heard Island,,Kerguelen,,-53.12,73.33,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512705,,,,,,,,,,,,,,,0.704862,,,0.512705,-7.970938232
367,s 69245 ,Heard Island,,Kerguelen,,-53.12,73.33,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512706,,,,,,,,,,,,,,,0.704856,,,0.512706,-7.951449386
368,s 65054 ,Heard Island,,Kerguelen,,-53.12,73.33,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51272,,,,,,,,,,,,,,,0.704804,,,0.51272,-7.678605534
369,s 65254 ,Heard Island,,Kerguelen,,-53.12,73.33,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512729,,,,,,,,,,,,,,,0.704725,,,0.512729,-7.503205915
370,s 65171 ,Heard Island,,Kerguelen,,-53.12,73.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512581,,,,,,,,,,,,,,,0.705318,0.51258,,0.51258,-10.40704405
371,s M-D10-1_LEACHED ,Kerguelen (Broken Ridge),,Kerguelen,,-31.23,93.7,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,s M-D-2_UNLEACHED ,Kerguelen (Broken Ridge),,Kerguelen,,-31.23,93.7,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,s M-D10-3  / s M-D10-3_UNLEACHED ,Kerguelen (Broken Ridge),,Kerguelen,,-31.23,93.7,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,s M-D9-3_LEACHED ,Kerguelen (Broken Ridge),,Kerguelen,,-31.4,93.33,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,s M-D8-1_LEACHED ,Kerguelen (Broken Ridge),,Kerguelen,,-32.4,98.33,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,s D8-E-1A_UNLEACHED ,Kerguelen (Broken Ridge),,Kerguelen,,-32.4,98.33,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,"s 183-1141A-18R2,1 ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.1283,95.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512646,,,,,,,,,,,,18.024,15.611,38.771,0.705557,0.512549,,0.512549,-8.183042365
378,"s 183-1141A-23R4,2 ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.1283,95.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512629,,,,,,,,,,,,18.014,15.599,38.631,0.705434,0.512544,,0.512544,-8.280514186
379,"s 183-1141A-23R4,2_LEACHED ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.1283,95.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51265,,,,,,,,,,,,18.003,15.587,38.601,0.705416,0.512543,,0.512543,-8.300008551
380,"s 183-1141A-13R1,1_LEACHED ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.1283,95.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512656,,,,,,,,,,,,18.053,15.596,38.689,0.705328,0.512541,,0.512541,-8.338997279
381,"s 183-1141A-23R4,2_LEACHED ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.1283,95.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,"s 183-1141A-18R2,1 ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.1283,95.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,"s 183-1142A2R1,2A ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.125,94.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51262,,,,,,,,,,,,18.007,15.591,38.607,0.70543,0.512536,,0.512536,-8.719432839
384,"s 183-1142A2R1,2A_LEACHED ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.125,94.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512647,,,,,,,,,,,,18.018,15.587,38.713,0.705408,0.512535,,0.512535,-8.738926651
385,"s 183-1142A9R3,91-94_LEACHED ",Kerguelen (Broken Ridge),,Kerguelen,,-32.23,97.125,94.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512675,,,,,,,,,,,,17.909,15.621,38.82,,0.512556,,0.512556,-8.329556594
386,s AG99-125 ,Kerguelen Archipelago,,Kerguelen,,-49.35,69.89,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512646,,,,,,,,,,,,18.241,15.525,38.665,0.705177,0.512622,,0.512622,-8.740307226
387,s AG99-126 ,Kerguelen Archipelago,,Kerguelen,,-49.35,69.89,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51263,,,,,,,,,,,,18.216,15.527,38.655,0.705171,0.512607,,0.512607,-9.032664744
388,s AG99-41 ,Kerguelen Archipelago,,Kerguelen,,-49.48,69.67,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512634,,,,,,,,,,,,18.317,15.546,38.841,0.705168,0.512614,,0.512614,-8.896231236
389,s AG99-38 ,Kerguelen Archipelago,,Kerguelen,,-49.9,69.64,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512581,,,,,,,,,,,,18.406,15.536,38.94,0.705305,0.51258,,0.51258,-10.40704405
390,s AG99-37 ,Kerguelen Archipelago,,Kerguelen,,-49.9,69.64,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512586,,,,,,,,,,,,18.435,15.548,39.028,0.705245,0.512585,,0.512585,-10.30959982
391,s AG99-35 ,Kerguelen Archipelago,,Kerguelen,,-49.9,69.64,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512588,,,,,,,,,,,,18.355,15.547,38.855,0.705242,0.512587,,0.512587,-10.27062212
392,s AG99-36 ,Kerguelen Archipelago,,Kerguelen,,-49.9,69.64,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512605,,,,,,,,,,,,18.402,15.535,38.982,0.705231,0.512604,,0.512604,-9.939311732
393,s AG99-34 ,Kerguelen Archipelago,,Kerguelen,,-49.9,69.64,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512606,,,,,,,,,,,,18.481,15.546,39.101,0.705214,0.512605,,0.512605,-9.919822885
394,s 77-128 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51262,,,,,,,,,,,,,,,0.705039,0.512597,,0.512597,-9.227569756
395,s KG2-1 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512878,,,,,,,,,,,,,,,,,,,
396,s KG5-3 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512631,,,,,,,,,,,,,,,,,,,
397,s KG6-2 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512907,,,,,,,,,,,,,,,,,,,
398,s KG5-3 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512641,,,,,,,,,,,,,,,,,,,
399,s LVLK130 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51275,,,,,,,,,,,,18.511,15.574,39.085,0.704917,0.512728,,0.512728,-6.674314102
400,s 80-71 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5125,,,,,,,,,,,,18.199,15.543,38.926,0.705574,0.51249,,0.51249,-11.59575015
401,s 80-135 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51254,,,,,,,,,,,,18.293,15.55,38.746,0.70535,0.512529,,0.512529,-10.83564212
402,s LVLK123 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51262,,,,,,,,,,,,18.297,15.555,38.907,0.705207,0.512598,,0.512598,-9.208079254
403,s LVLK108 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5127,,,,,,,,,,,,18.461,15.562,38.992,0.705102,0.512678,,0.512678,-7.64883916
404,s K47 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51259,,,,,,,,,,,,,,,0.704991,0.51257,,0.51257,-9.753813287
405,s 2618 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512499,,,,,,,,,,,,,,,0.707639,,,,
406,s BM64852 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512507,,,,,,,,,,,,,,,0.705945,0.5125,,0.5125,-11.68351845
407,s 2625 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512461,,,,,,,,,,,,,,,0.705812,,,,
408,s 2621 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512479,,,,,,,,,,,,,,,0.70575,0.512456,,0.512456,-11.97573042
409,s 3312 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512346,,,,,,,,,,,,,,,0.705738,0.512345,,0.512345,-14.98692298
410,s BM75190 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512498,,,,,,,,,,,,,,,0.705641,0.512491,,0.512491,-11.85892304
411,s 2623 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512448,,,,,,,,,,,,,,,0.705604,,,,
412,s 3310 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512562,,,,,,,,,,,,,,,0.705491,,,,
413,s 2608 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512549,,,,,,,,,,,,,,,0.705487,,,,
414,s 3319 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512447,,,,,,,,,,,,,,,0.705463,0.512425,,0.512425,-12.57993596
415,s 80.25 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51252,,,,,,,,,,,,,,,0.70544,,,0.51252,-11.57637484
416,s 77.103C ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51261,,,,,,,,,,,,,,,0.70538,,,0.51261,-9.822378653
417,"s BM1967,P8(5) ",Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512541,,,,,,,,,,,,,,,0.705374,0.512534,,0.512534,-11.02087892
418,s 3308 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512543,,,,,,,,,,,,,,,0.705204,0.512524,,0.512524,-10.65037634
419,s AG99-123 ,Kerguelen Archipelago,,Kerguelen,,-49.35,69.89,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512655,,,,,,,,,,,,18.294,15.529,38.74,0.705166,0.512631,,0.512631,-8.564892716
420,s 77.25 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51263,,,,,,,,,,,,,,,0.70514,,,0.51263,-9.432601722
421,s 81.85 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51257,,,,,,,,,,,,,,,0.70512,,,0.51257,-10.60193251
422,s 3317 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512551,,,,,,,,,,,,,,,0.70511,,,,
423,s MM94-401 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512648,,,,,,,,,,,,,,,0.705106,,,,
424,s AG99-122 ,Kerguelen Archipelago,,Kerguelen,,-49.35,69.89,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512628,,,,,,,,,,,,18.388,15.545,38.954,0.705064,0.512606,,0.512606,-9.052155245
425,s AG99-124 ,Kerguelen Archipelago,,Kerguelen,,-49.35,69.89,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512656,,,,,,,,,,,,18.566,15.564,39.096,0.705041,0.512636,,0.512636,-8.46744021
426,s KG11-1 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51267,,,,,,,,,,,,,,,,,,,
427,s KG8-4 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512645,,,,,,,,,,,,,,,,,,,
428,s KG14-3 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512631,,,,,,,,,,,,,,,,,,,
429,s I75 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512685,,,,,,,,,,,,,,,,,,,
430,s I380 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512657,,,,,,,,,,,,,,,,,,,
431,s I381 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512671,,,,,,,,,,,,,,,,,,,
432,s AG99-121 ,Kerguelen Archipelago,,Kerguelen,,-49.35,69.89,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512611,,,,,,,,,,,,,,,,,,,
433,s 2682 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512546,,,,,,,,,,,,18.637,15.576,39.522,,,,,
434,s 81-18 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51266,,,,,,,,,,,,18.433,15.547,38.845,0.704684,0.512633,,0.512633,-8.525911713
435,s 81-19 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51274,,,,,,,,,,,,18.236,15.555,38.34,0.70427,0.512712,,0.512712,-6.986162121
436,s GM92-58 ,Kerguelen Archipelago,,Kerguelen,,-48.55,68.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512593,,,,,,,,,,,,18.217,15.533,38.799,0.705479,0.512568,,0.512568,-9.79279429
