Unique_ID﻿,SampleID,Location,Reference(s),Plume,Geochemical affinity1,Lat,Lon,Age,Age_rounded,SiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,SO3,L.O.I,SUM(volatile free),Unnamed: 21,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Mo,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Th,U,Unnamed: 62,143Nd/144Nd,2s_Nd,87Sr/86Sr,2s_Sr,206Pb/204Pb,2s_206Pb,207Pb/204Pb,2s_207Pb,208Pb/204Pb,2s_208Pb,176Hf/177Hf,2s_Hf,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,87Sr/86Sr_i,143Nd/144Nd_i,176Hf/177Hf_i,143Nd,Delta_DM
11,MSM82-10-DR-3,ERGR,Hoyer et al. (2022) ,Tristan,tholeiitic,-33.8,-30.69722222,65,70,48.24,14.87,11.05,0.1883,5.716,10.23,3.098,0.778,2.264,0.3898,,2.98,96.8241,,34.47,42.44,381.5,54.87,43.12,40.93,194.7,110,,25.16,248.4,33.65,161.4,14.06,0.5354,1.434,0.3912,2.025,128.8,13.82,32.34,4.583,21.11,5.684,2.013,6.388,1.059,6.7,1.362,3.81,0.5309,3.427,0.4876,4.332,0.9361,0.07636,0.03062,1.762,1.779,0.5635,,,,,,,,,,,,,,,,,,,,,
12,MSM82-10-DR-4,ERGR,Hoyer et al. (2022) ,Tristan,tholeiitic,-33.8,-30.69722222,65,70,48.38,14.41,12.9,0.1759,5.72,11.13,2.987,0.7071,2.134,0.329,,0.92,98.873,,14.67,42.06,394,67.5,50.19,58.15,183.4,94.93,,12.37,245.1,30.1,131.3,12.71,0.6066,1.218,0.1074,0.9687,150.6,13.47,32.44,4.253,19.33,5.116,1.843,5.84,0.9669,6.246,1.256,3.618,0.5118,3.334,0.474,3.522,0.793,0.1421,0.02223,1.48,1.437,0.347,,,,,,,,,,,,,,,,,,,,,
13,MSM82-11-DR-1,ERGR,Hoyer et al. (2022) ,Tristan,tholeiitic,-33.7,-30.86333333,65,70,45.12,15.74,10.32,0.1378,6.673,13.15,2.952,0.9126,2.02,0.343,,2.37,97.3684,,48.81,37.69,310,162.4,45.17,66.26,181.5,87.45,,17.18,302.7,27.49,149.7,12.56,0.5057,1.241,0.2094,0.9695,153.6,16.01,35.6,4.759,20.83,5.073,1.779,5.386,0.8653,5.402,1.091,3.063,0.4232,2.768,0.3895,3.824,0.8149,0.101,0.02443,1.994,1.65,0.5728,,,,,,,,,,,,,,,,,,,,,
14,MSM82-11-DR-2,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-33.7,-30.86333333,65,70,42.7,16.2,10.34,0.1333,6.465,12.68,3.296,1.055,2.176,0.3918,,4.21,95.4371,,67.32,39.42,305,174.9,49.86,83.19,225.7,98.62,,21.8,302.8,27.61,160.6,13.24,0.6452,1.33,0.4087,1.606,162.3,16.39,36.85,4.961,21.82,5.33,1.87,5.698,0.9109,5.658,1.136,3.16,0.4385,2.827,0.3959,4.12,0.8748,0.1487,0.03492,2.012,1.729,1.062,,0.512552658,4.45E-06,0.704537088,0.0000066,17.58088406,0.000845185,15.44868445,0.000879208,38.0619936,0.002239233,0.282851634,2.66E-06,17.24761052,15.43291664,37.88378929,0.704344798,0.512490143,0.282851528,0.512490143,-10.17914189
15,MSM82-11-DR-3,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-33.7,-30.86333333,65,70,44.21,15.88,11.5,0.2189,8.711,9.289,2.491,0.9259,2.042,0.5189,,3.92,95.7867,,93.65,36.75,297.4,94.84,57.12,117.2,108.8,118.3,,21.27,845,29.83,172.9,13.97,2.278,1.422,0.6489,1.629,171,21.38,45.26,5.959,25.66,5.915,2.007,6.087,0.9487,5.826,1.153,3.176,0.4296,2.736,0.3831,4.443,0.8856,0.5542,0.1797,5.077,2.244,1.158,,0.512426808,4.40E-06,0.704999188,0.0000042,17.56344488,0.001816945,15.44826216,0.001604304,38.09570173,0.004184797,0.282757269,2.85E-06,17.41939844,15.44144704,38.00402403,0.704931954,0.512367813,0.282757177,0.512367813,-12.56367588
16,MSM82-11-DR-4,ERGR,Hoyer et al. (2022) ,Tristan,tholeiitic,-33.7,-30.86333333,65,70,47.33,15.72,10.51,0.1518,6.288,10.85,2.667,0.8418,1.952,0.3935,,3.11,96.7041,,41.52,36.68,301.8,88.74,44.87,51.06,93.03,92.99,,17.87,357.1,28.27,170.1,13.72,0.617,1.41,0.2767,1.364,166.5,19.84,44.14,5.801,24.8,5.807,1.977,5.888,0.9263,5.693,1.131,3.113,0.4268,2.759,0.3854,4.344,0.8852,0.09167,0.02959,2.324,2.16,0.4925,,,,,,,,,,,,,,,,,,,,,
17,MSM82-11-DR-5,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-33.7,-30.86333333,65,70,48.06,15.8,10.58,0.147,5.74,11.39,2.958,0.8194,2.03,0.3273,,1.94,97.8517,,33.1,37.31,316.4,84.24,44.83,46.83,113.4,90.36,,13.85,356.8,26.24,166.8,14.03,0.6554,1.385,0.1995,1.102,199.9,20.59,48.98,5.985,25.57,5.872,2.02,5.919,0.9243,5.672,1.098,3.041,0.4183,2.689,0.372,4.184,0.8472,0.08066,0.02063,2.405,2.176,0.3433,,0.51242565,4.66E-06,0.704950888,0.0000054,17.33278738,0.001758318,15.41288732,0.001549567,38.00643647,0.003896687,0.282759399,2.87E-06,17.24308142,15.40864315,37.81968961,0.704847207,0.512366878,0.282759308,0.512366878,-12.58189554
18,MSM82-11-DR-6,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-33.7,-30.86333333,65,70,46.03,15.99,9.361,0.1291,6.486,11.14,2.764,0.7693,1.965,0.3674,,4.77,95.0018,,54.85,38.74,318,161.9,52.11,75.95,177.8,89.23,,17.71,298.4,27.6,155.4,12.98,0.5596,1.317,0.283,1.287,162.7,15.99,36.39,4.908,21.52,5.258,1.831,5.622,0.8989,5.579,1.122,3.124,0.4293,2.774,0.39,3.991,0.8557,0.09282,0.02505,1.994,1.72,0.6647,,0.5125491,0.0000044,0.70453725,0.0000042,17.53141392,0.000752358,15.44252778,0.000718535,38.06995165,0.002086817,0.282852664,2.42E-06,17.32107504,15.43257624,37.89119211,0.704378734,0.512486569,0.282852559,0.512486569,-10.24879404
19,MSM82-11-DR-7,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-33.7,-30.86333333,65,70,47.73,15.94,10.29,0.1334,6.401,11.84,3.24,0.6941,1.743,0.2895,,1.46,98.301,,36.93,40.75,339.9,375,52.94,118.4,126.8,99.11,,14.25,451.5,30.84,190.3,14.7,1.094,1.526,0.1966,1.262,240.8,23.26,55.43,6.857,29.27,6.833,2.385,6.818,1.073,6.582,1.275,3.552,0.4918,3.207,0.4468,4.723,0.8423,0.218,0.02929,2.034,1.84,0.4159,,0.512542511,5.38E-06,0.704872288,0.0000054,17.37696112,0.000890368,15.42079774,0.000787029,37.98921741,0.001925989,0.282846946,2.74E-06,17.24840005,15.41471527,37.80241379,0.704787988,0.512482766,0.282846829,0.512482766,-10.32293373
20,MSM82-11-DR-8,ERGR,Hoyer et al. (2022) ,Tristan,tholeiitic,-33.7,-30.86333333,65,70,46.11,17.12,10.4,0.1037,6.318,11.06,2.416,0.7958,1.595,0.3006,,3.58,96.2191,,56.42,34.19,293.3,146.2,52.74,116.3,114.4,78.91,,22.41,283.7,19.32,87.77,9.237,0.4861,0.842,0.2493,1.72,86.94,8.015,18.63,2.686,12.55,3.419,1.312,3.836,0.6242,3.917,0.792,2.202,0.3046,1.974,0.2788,2.442,0.6259,0.09732,0.09656,0.968,0.7778,0.2166,,,,,,,,,,,,,,,,,,,,,
21,MSM82-11-DR-9,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-33.7,-30.86333333,65,70,48.31,16.4,8.971,0.107,6.836,11.05,2.851,0.6684,1.71,0.4207,,2.4,97.3241,,46.02,34.6,272.4,332.6,40.12,103.9,94.83,83.83,,11.77,605.7,27.1,158.3,11.58,0.7301,1.285,0.2394,1.05,172.1,17.69,39.83,5.332,23.2,5.57,1.923,5.756,0.9113,5.597,1.117,3.091,0.4257,2.738,0.3871,4.121,0.7337,0.1047,0.02934,1.664,1.569,0.4135,,0.512536277,4.83E-06,0.704868488,0.0000058,17.38194053,0.00114356,15.42465874,0.001068602,38.00156446,0.002671656,0.282846649,3.35E-06,17.22565386,15.41726452,37.80679707,0.704816585,0.512474833,0.282846549,0.512474833,-10.47756534
22,MSM82-12-DR-1,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34.02,-30.47361111,65,70,46.95,14.78,14.19,0.3216,7.052,5.858,1.65,4.046,1.738,0.4172,,2.48,97.0028,,21.65,33.79,294.1,206.2,40.86,52.01,250.3,206.7,,87.42,160.8,21.21,34.9,12.75,0.3149,1.491,0.3499,0.1548,3183,17.23,39.26,4.788,20.19,4.633,1.513,4.815,0.7588,4.678,0.897,2.41,0.3236,2.001,0.2346,1.557,0.7648,0.3424,0.8275,5.706,1.521,0.3505,,0.512417726,5.20E-06,0.706679888,0.000005,17.61356704,0.001384731,15.44095726,0.001316879,38.4428285,0.003408716,0.282808425,2.46E-06,17.57456337,15.43911193,38.38723889,0.705227541,0.512358998,0.282808327,0.512358998,-12.73549887
23,MSM82-13-DR-1,ERGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,tholeiitic,-34,-30.47138889,65,70,48.89,17.53,11.68,0.1947,6.35,2.541,5.326,0.5442,2.178,0.3534,,4.16,95.5873,,33.32,33.37,320,69.66,49.58,75.2,55.55,166.2,,17.57,236.9,27.62,178.6,13.28,0.3948,1.522,0.5245,0.7623,89.23,19.37,46.16,5.958,25.62,5.894,1.97,5.899,0.9211,5.675,1.134,3.168,0.4389,2.853,0.4017,5.214,0.8673,0.3111,6.454,3.342,2.284,0.438,,0.512313714,5.81E-06,0.705290588,0.0000044,17.42975262,0.000921509,15.43619323,0.001010488,38.05303633,0.002984095,0.282696517,3.02E-06,17.34719894,15.43228745,37.91165069,0.705092484,0.512254837,0.282696431,0.512254837,-14.76588438
24,MSM82-27-DR-2,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-31.07,-34.42277778,50,50,40.12,13.44,10.94,0.1879,10.78,11.42,2.444,2.866,2.522,1.046,,3.72,95.7659,,23.02,27.17,255,466.6,47.89,221.8,45.49,76.94,,63.86,1322,27.4,317.2,110.9,4.682,1.901,0.1559,0.7687,882.4,110.3,206.7,22.99,84.11,12.61,3.654,9.044,1.171,6.226,1.106,2.81,0.3613,2.236,0.3004,7.116,6.912,1.848,0.1758,6.728,10.41,2.59,,0.512474507,5.80E-06,0.704644688,0.000005,18.19106657,0.003083505,15.50664426,0.002628556,38.88848405,0.006714359,0.282707636,2.94E-06,18.00044307,15.49768205,38.6366473,0.704545452,0.512444993,0.282707601,0.512444993,-11.62480887
25,MSM82-34-DR-3-B,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-30.86,-35.39277778,50,50,46.51,18.2,8.016,0.1496,4.612,7.135,3.583,3.188,2.53,1.079,,4.55,95.0026,,76.65,8.985,161.8,2.321,19.48,17.01,15.4,91.29,,45.19,1279,30.69,435.4,89.58,2.273,2.51,0.3272,1.409,1478,99.51,199.5,21.48,80.2,12.93,3.829,9.965,1.342,7.399,1.332,3.527,0.4722,2.96,0.4059,9.596,5.031,0.6329,0.11,9.886,10.7,2.578,,0.512344749,4.22E-06,0.705358188,0.000005,17.80062942,0.000789926,15.47069516,0.00098267,38.16818899,0.003188086,0.282657126,2.42E-06,17.67351273,15.46471874,37.99477061,0.705285598,0.512313011,0.282657078,0.512313011,-14.19734809
26,MSM82-34-DR-3-C,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-30.86,-35.39277778,50,50,47.14,15.33,11.09,0.163,5.288,8.01,3.284,3.027,3.086,0.7874,,2.43,97.2054,,85.28,21.75,337.6,64.45,43.22,70.1,45.91,99.62,,61.89,784,26.42,316.4,49.88,1.909,2.226,0.1685,0.5479,979.1,52.92,127.1,14.17,54.52,9.807,2.988,7.89,1.103,6.065,1.093,2.823,0.3866,2.328,0.3288,7.525,2.812,0.5731,0.1276,6.928,6.237,1.386,,0.512345876,4.96E-06,0.705665188,0.0000054,17.7980376,0.000709077,15.4778442,0.000843595,38.23916403,0.002645597,0.282636123,2.73E-06,17.70041512,15.47325446,38.0947684,0.705503,0.512310466,0.282636083,0.512310466,-14.24696267
27,MSM82-55-DR-1,WRGR,Hoyer et al. (2022) ,Tristan,alkaline,-30.41,-36.33,50,50,51.56,17.7,5.491,0.1144,2.27,4.957,4.036,5.717,1.815,1.109,,4.79,94.7694,,15.67,6.322,121.9,2.657,6.147,21.1,9.13,86.43,,102.3,897.1,27.06,413.2,66.97,1.024,2.746,1.086,0.5938,1774,100.1,202.5,22.34,83.33,12.88,3.648,9.31,1.211,6.56,1.162,3.08,0.4175,2.683,0.3506,9.328,3.819,1.12,2.926,10.82,8.806,2.073,,,,,,,,,,,,,,,,,,,,,
28,MSM82-55-DR-2,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-30.41,-36.33,50,50,50.17,16.64,7.11,0.2455,2.897,4.906,3.498,6.039,2.233,1.025,,4.81,94.7635,,12.49,9.225,164.6,2.651,40.87,34.9,15.17,93.21,,126.4,823.3,22.35,434,69.04,2.036,2.547,1.055,1.848,1498,84.12,168.5,19.16,71.45,11.11,3.089,8.199,1.103,6.068,1.117,2.939,0.3978,2.529,0.3442,9.891,4.217,2.626,1.257,9.49,9.312,1.984,,0.512299913,5.26E-06,0.705890688,0.0000054,17.64495058,0.000664435,15.46282238,0.000785779,38.12856281,0.002487326,0.282591285,2.52E-06,17.54332555,15.45804446,37.97178171,0.705575251,0.512269303,0.282591252,0.512269303,-15.0492895
29,MSM82-55-DR-14,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-30.41,-36.33,50,50,55.15,19.23,5.709,0.07799,1.128,2.981,4.907,5.089,1.438,0.751,,3.07,96.46099,,4.629,2.811,39.41,5.595,4.647,5.38,7.24,77.43,,104.2,1139,25.07,530.2,89.06,0.471,2.855,0.313,0.667,1919,101.6,208.8,21.15,71.53,10.03,3.557,6.805,0.9506,5.322,0.9922,2.745,0.399,2.596,0.3657,10.54,4.597,1.134,1.912,15.6,11.76,1.995,,0.51231058,4.11E-06,0.705630588,0.0000048,17.64681772,0.000637433,15.45827146,0.00070571,38.00952625,0.002382806,0.28260137,3.25E-06,17.58475819,15.45535372,37.88928193,0.705442632,0.512282977,0.282601335,0.512282977,-14.78276901
30,MSM82-57-DR-1,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-30.36,-36.07694444,50,50,52.21,17.54,7.141,0.1073,3.032,5.512,3.92,4.849,2.189,0.8134,,2.29,97.3137,,28.09,9.59,157.3,8.162,19.6,15.55,25.8,83.11,,92.04,995.4,27.25,457.8,65.18,1.367,2.756,0.1418,1.179,1417,85.68,174.3,19.32,71.98,11.57,3.33,8.5,1.144,6.266,1.114,2.952,0.394,2.487,0.3367,10.53,3.718,0.279,0.3652,11.42,9.368,1.782,,0.512307278,5.06E-06,0.706155225,0.0000052,17.73485556,0.001116505,15.4783396,0.001400495,38.20103249,0.004674131,0.282577754,2.89E-06,17.6588171,15.47476463,38.06964193,0.705965243,0.512275636,0.282577724,0.512275636,-14.92586166
31,MSM82-58-DR-1,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-30.12,-36.35277778,50,50,47.73,11.25,10.34,0.1215,10.76,7.57,2.357,3.018,2.723,0.7059,,2.96,96.5754,,53.21,20.85,237.9,847.4,53.14,447.2,59.54,124,,51.11,483.7,19.31,361.9,41.76,1.688,2.182,0.6468,0.2972,709.7,55.31,113.9,13.97,55.13,9.142,2.532,6.683,0.8544,4.482,0.7824,1.945,0.2463,1.497,0.2021,8.788,2.673,0.5357,0.1129,7.734,4.987,1.112,,0.512266014,4.75E-06,0.706266825,0.0000054,17.75046644,0.000568229,15.47385269,0.000607358,38.08600859,0.001647109,0.282504548,2.87E-06,17.68050388,15.47056339,37.98287694,0.706049721,0.51223337,0.282504535,0.51223337,-15.74968044
32,MSM82-58-DR-2,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-30.12,-36.35277778,50,50,44.44,11.51,11.39,0.1382,10.74,7.305,2.952,3.807,2.778,0.8773,,3.56,95.9375,,53.77,21.42,243,848.7,59.4,496.5,79.22,111.1,,54.52,494,20.68,386.9,44.04,2.009,2.308,1.25,0.5511,973.2,60.98,127.1,15.29,59.75,9.645,2.672,7.016,0.8998,4.717,0.821,2.061,0.2624,1.6,0.2154,9.482,2.766,0.649,0.246,8.823,5.797,1.28,,0.512234298,4.48E-06,0.706388225,0.000006,17.75111065,0.001112445,15.47409802,0.000985217,38.08432705,0.002281571,0.282494323,2.29E-06,17.68051891,15.47077914,37.97924248,0.706161462,0.512202521,0.282494309,0.512202521,-16.35097792
33,MSM82-58-DR-3,WRGR,Hoyer et al. (2022) andHomrighausen et al. (2023),Tristan,alkaline,-30.12,-36.35277778,50,50,46.75,11.94,10.61,0.1412,10.29,6.418,2.819,3.281,2.686,0.894,,3.69,95.8292,,45.28,20.21,232.9,785.2,59.73,466.6,76.58,107.8,,49.95,423.2,20.63,372.4,42.21,2.107,2.257,1.332,0.8762,862.3,50.82,122.9,14.82,57.71,9.366,2.584,6.811,0.8748,4.588,0.8071,2.03,0.2588,1.577,0.2153,9.186,2.668,0.6656,0.261,9.024,5.612,1.25,,0.512251572,5.67E-06,0.706409225,0.0000052,17.72724818,0.001605046,15.47199137,0.001601559,38.06861484,0.004657065,0.282492148,3.32E-06,17.6598852,15.46882428,37.969207,0.706166712,0.512219623,0.282492134,0.512219623,-16.01763948
