SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0000033,Big Bell UG,Big Bell Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,117.655356999999995,-27.318659000000000,564838,6978099,50,Au Ag,Precious metal,GOLD,Big Bell,N,,Y,,Operating Mine,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20250611
S0000045,Aladdin,Aladdin Open Pit,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.347188000000003,-26.869470000000000,633823,7027311,50,Au Ag,Precious metal,GOLD,Aladdin,N,,Y,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20250611
S0000046,Bluebird,Bluebird - Bluebird South,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.425101999999995,-26.716249000000001,641754,7044200,50,Au Ag,Precious metal,GOLD,Bluebird South,N,,N,,Operating Mine,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20250611
S0000053,Southern Stockworks,Boorara Open Pit - Southern Stockworks,Mine,Openpit,Operating,J02851,Boorara / Horizon,121.644084000000007,-30.809293000000000,370293,6590747,51,Au Ag,Precious metal,GOLD,Boorara,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000077,Butterfly 1,Butterfly 1,Mine,Openpit,Operating,J02010,Ulysses Gold,121.380351000000005,-29.198008999999999,342537,6768990,51,Au Ag,Precious metal,GOLD,Butterfly,N,,N,,Operating Mine,Public,3139,MELITA,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",40,NIAGARA,Eastern Goldfields Superterrane,20250611
S0000102,OK,OK,Mine,Decline,Operating,J00056,Central Norseman,121.784904999999995,-32.218563000000003,385497,6434690,51,Au Ag,Precious metal,GOLD,OK,N,,N,,Operating Mine,Public,3233,NORSEMAN,SI51-02,NORSEMAN,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Eastern Goldfields Superterrane,20250611
S0000181,Morrison,Morrison,Mine,Openpit,Operating,J00102,Golden Mile / KCGM,121.508465999999999,-30.789484000000002,357289,6592777,51,Au Ag,Precious metal,GOLD,Morrison,N,,N,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000201,Frasers UG,Frasers Underground,Mine,Decline,Operating,J00226,Marvel Loch - Southern Cross,119.331199999999995,-31.239559000000000,722020,6541505,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2735,SOUTHERN CROSS,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0000249,Golden Spec,Golden Spec,Mine,Shaft,Operating,J00126,Blue Spec / Novo,120.263907000000003,-21.823157999999999,217151,7584235,51,Au Sb Ag,Precious metal,GOLD,,N,,,,,Public,2954,NULLAGINE,SF51-05,NULLAGINE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Mosquito Creek Basin,20250611
S0000258,Goongarrie Lady,Goongarrie Lady,Mine,Openpit,Operating,J04956,Goongarrie Lady,121.184481000000005,-30.081354000000001,325026,6670810,51,Au Ag,Precious metal,GOLD,Goongarrie Lady,N,,Y,,Operating Mine,Public,3137,BARDOC,SH51-09,KALGOORLIE,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Eastern Goldfields Superterrane,20250611
S0000275,Hawkins Find,Hawkins Find,Mine,Openpit,Operating,J01884,Hawkins Find,121.021960000000007,-30.498387000000001,310164,6624323,51,Au Ag,Precious metal,GOLD,Hawkins Find,N,,Y,,Operating Mine,Public,3137,BARDOC,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20250611
S0000278,Great Fingall Deeps,Great Fingall Deeps,Mine,Shaft,Under Development,J00017,Cue Gold - Central Murchison,117.850403000000000,-27.461590000000001,584027,6962150,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",21,DAY DAWN,Youanmi Terrane,20250611
S0000284,Great Victoria S,Great Victoria South - Pakistani,Mine,Openpit,Operating,J00226,Marvel Loch - Southern Cross,119.573254000000006,-31.550592000000002,744273,6506504,50,Au Ag,Precious metal,GOLD,,N,,,,,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0000308,Fairplay E,Fairplay East,Mine,Openpit,Operating,J00152,Higginsville,121.726648999999995,-31.748763000000000,379394,6486706,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3234,COWAN,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000315,Brown Hill Opencut,Brown Hill Opencut,Mine,Openpit,Operating,J00156,Mt Magnet,117.790786999999995,-28.032774000000000,577730,6898915,50,Au Ag,Precious metal,GOLD,Brown Hill Opencut,N,,N,,Operating Mine,Public,2441,MOUNT MAGNET,SH50-03,KIRKALOCKA,"MOUNT MAGNET, SHIRE OF","MID-WEST, Development Region",58,MT. MAGNET,Youanmi Terrane,20250611
S0000316,Brown Hill UG,Brown Hill Underground,Mine,Unspecified,Operating,J00156,Mt Magnet,117.790786999999995,-28.032774000000000,577730,6898915,50,Au Ag,Precious metal,GOLD,Brown Hill Underground,N,,N,,Operating Mine,Public,2441,MOUNT MAGNET,SH50-03,KIRKALOCKA,"MOUNT MAGNET, SHIRE OF","MID-WEST, Development Region",58,MT. MAGNET,Youanmi Terrane,20250611
S0000352,Jeffreys,Jeffreys Find,Mine,Openpit,Operating,J00170,Jeffreys Find,122.151138000000003,-31.946434000000000,419773,6465187,51,Au Ag,Precious metal,GOLD,Jeffreys Find,N,,Y,,Operating Mine,Public,3334,YARDINA,SH51-14,WIDGIEMOOLTHA,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Eastern Goldfields Superterrane,20250611
S0000357,Jupiter,Jupiter - Joanne - Doublejay,Mine,Openpit,Operating,J00256,Mt Morgans,122.219286999999994,-28.807189000000001,423817,6813126,51,Au Ag,Precious metal,GOLD,Jupiter - Joanne - Doublejay,N,,N,,Operating Mine,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20250611
S0000389,Harrys Hill,Harrys Hill,Mine,Openpit,Operating,J00184,Aldiss - Karonie,122.558027999999993,-31.045010999999999,457826,6565326,51,Au Ag,Precious metal,GOLD,Harrys Hill,N,,Y,,Operating Mine,Public,3435,ERAYINIA,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20250611
S0000404,Newhaven,Newhaven,Mine,Openpit,Operating,J01338,Phillips Find,120.965986000000001,-30.612857000000002,305021,6611539,51,Au Ag,Precious metal,GOLD,Newhaven,N,,N,,Operating Mine,Public,3036,DUNNSVILLE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20250611
S0000457,Devon,Devon,Mine,Openpit,Operating,J00216,Devon - Linden / Matsa,122.442386999999997,-29.285803000000001,445838,6760220,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3339,LAKE CAREY,SH51-06,EDJUDINA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20250611
S0000483,MacPhersons Reward,MacPhersons Reward,Mine,Openpit,Operating,J00229,Coolgardie Gold,121.198518000000007,-30.996009000000001,327999,6569448,51,Au Ag,Precious metal,GOLD,MacPhersons Reward,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000541,Mt Marven,Mt Marven,Mine,Openpit,Operating,J00256,Mt Morgans,122.175597999999994,-28.812819999999999,419558,6812473,51,Au Ag,Precious metal,GOLD,Mt Marven,N,,Y,,Operating Mine,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20250611
S0000566,Racetrack,Racetrack - Racetrack West,Mine,Openpit,Operating,J00292,Paddington - Mt Pleasant,121.227029999999999,-30.556281999999999,329949,6618233,51,Au Ag,Precious metal,GOLD,Racetrack West,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20250611
S0000590,Nevoria UG,Nevoria Underground,Mine,Decline,Operating,J00226,Marvel Loch - Southern Cross,119.588401000000005,-31.507265000000000,745825,6511275,50,Au Ag,Precious metal,GOLD,Nevoria,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0000671,Million Dollar North,Million Dollar North,Mine,Openpit,Operating,J00094,Porphyry - Northern Operations,122.285974999999993,-29.799054000000002,430995,6703267,51,Au Ag,Precious metal,GOLD,Million Dollar,N,,Y,,Operating Mine,Public,3338,EDJUDINA,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Yilgarn Craton granites,20250611
S0000672,Porphyry UG,Porphyry Underground,Mine,Decline,Operating,J00094,Porphyry - Northern Operations,122.285004000000001,-29.780899000000002,430888,6705278,51,Au Ag,Precious metal,GOLD,Porphyry,N,,Y,,Operating Mine,Public,3338,EDJUDINA,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Yilgarn Craton granites,20250611
S0000675,Queen Lapage,Queen Lapage,Mine,Openpit,Operating,J00307,Queen Lapage,121.979797000000005,-30.616180000000000,402215,6612490,51,Au Ag,Precious metal,GOLD,Queen Lapage,N,,Y,,Operating Mine,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",25,BULONG,Eastern Goldfields Superterrane,20250611
S0000689,Riverina UG,Riverina Underground,Mine,Decline,Operating,J00084,Davyhurst - Lady Ida - Mulline - Riverina - Siberia Gold,120.564800000000005,-29.744022999999999,264493,6707094,51,Au Ag,Precious metal,GOLD,Riverina Underground,N,,N,,Operating Mine,Public,3038,RIVERINA,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",30,ULARRING,Eastern Goldfields Superterrane,20250611
S0000709,Second Fortune,Second Fortune,Mine,Decline,Operating,J02325,Linden Gold,122.435818999999995,-29.376505999999999,445249,6750167,51,Au Ag,Precious metal,GOLD,Second Fortune,N,,Y,,Operating Mine,Public,3339,LAKE CAREY,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20250611
S0000726,Spargos Reward,Spargos Reward,Mine,Openpit,Operating,J00333,Spargos Reward,121.470749999999995,-31.236453999999998,354362,6543185,51,Au Ag,Precious metal,GOLD,Spargos Reward,N,,Y,,Operating Mine,Public,3135,YILMIA,SH51-13,BOORABBIN,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000728,Jasper,Jasper - Aucklands,Mine,Openpit,Operating,J00330,Gwalia - Leonora,121.243896000000007,-28.758970000000001,328546,6817454,51,Au Ag,Precious metal,GOLD,Jasper - Aucklands,N,,N,,Operating Mine,Public,3140,LEONORA,SH51-01,LEONORA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",37,MT. MALCOLM,Eastern Goldfields Superterrane,20250611
S0000732,Main Dome,Telfer Main Dome,Mine,Openpit,Operating,J00338,Telfer / Newcrest,122.207117999999994,-21.719564999999999,417996,7598002,51,Au Cu Ag,Precious metal,GOLD,Telfer,Y,"Au, Cu, Ag",Y,,Operating Mine,Public,3354,PATERSON,SF51-06,PATERSON RANGE,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Yeneena Basin,20250611
S0000790,Yilgangi Queen,Yilgangi Queen,Mine,Decline,Operating,J00366,Yilgangi Queen,122.162423000000004,-29.712876000000001,418984,6712736,51,Au,Precious metal,GOLD,Yilgangi Queen,N,,N,,Operating Mine,Public,3338,EDJUDINA,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Eastern Goldfields Superterrane,20250611
S0000811,Anglo Saxon,Anglo Saxon - Trouser Legs,Mine,Openpit,Operating,J00424,Anglo Saxon - Trouser Legs,122.731478999999993,-30.076781000000000,474122,6672676,51,Au Ag,Precious metal,GOLD,Anglo Saxon,N,,Y,,Operating Mine,Public,3437,PINJIN,SH51-10,KURNALPI,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Eastern Goldfields Superterrane,20250611
S0000812,Bannockburn Pit,Bannockburn Openpit - North and Central,Mine,Openpit,Operating,J04199,Bannockburn / Northern Star,120.893303000000003,-28.458691000000002,293722,6850177,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3041,WILDARA,SH51-01,LEONORA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",37,MT. MALCOLM,Yilgarn Craton granites,20250611
S0000847,Great Victoria,Great Victoria - GVG,Mine,Openpit,Operating,J00226,Marvel Loch - Southern Cross,119.573700000000002,-31.544279000000000,744331,6507203,50,Au Ag,Precious metal,GOLD,Great Victoria,N,,Y,,Operating Mine,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0000849,Greenfields Pit,Greenfields Openpit,Mine,Openpit,Operating,J00014,Coolgardie Gold / Focus,121.200912000000002,-30.932825000000001,328114,6576455,51,Au Ag,Precious metal,GOLD,Greenfields Openpit,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000880,Mt Charlotte,Mt Charlotte,Mine,Shaft,Operating,J00102,Golden Mile / KCGM,121.480903999999995,-30.746441000000001,354587,6597513,51,Au Ag,Precious metal,GOLD,Mt Charlotte,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000927,Two Boys,Two Boys / Karora,Mine,Decline,Operating,J00152,Higginsville,121.724997999999999,-31.740410000000001,379227,6487630,51,Au Ag,Precious metal,GOLD,Two Boys,N,,Y,,Operating Mine,Public,3234,COWAN,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0000933,Bellevue UG,Bellevue Underground,Mine,Decline,Operating,J04770,Bellevue,120.557620000000000,-27.636073000000000,259015,6940727,51,Au Ag,Precious metal,GOLD,Bellevue,N,,Y,,Operating Mine,Public,3042,SIR SAMUEL,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20250611
S0001007,Wandoo S,Wandoo South,Mine,Openpit,Operating,J00026,Boddington Gold,116.357518999999996,-32.753078000000002,439815,6375904,50,Au Cu As Bi Ag,Precious metal,GOLD,Boddington,Y,"Au, Cu, As, Bi, Ag",Y,,Operating Mine,Public,2132,DWELLINGUP,SI50-02,PINJARRA,"BODDINGTON, SHIRE OF","PEEL, Development Region",70,SOUTH WEST M.F.,South West Terrane,20250611
S0001063,Mickey Doolan,Mickey Doolan,Mine,Openpit,Operating,J00017,Cue Gold - Central Murchison,118.502775000000000,-26.618099000000001,649609,7054983,50,Au Ag,Precious metal,GOLD,Mickey Doolan,N,,Y,,Operating Mine,Public,2644,GABANINTHA,SG50-12,GLENGARRY,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20250611
S0001112,Emu,Emu - Bottle Creek,Mine,Openpit,Operating,J00028,Bottle Creek,120.446799999999996,-29.154039000000001,251645,6772251,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,2939,MOUNT MASON,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Eastern Goldfields Superterrane,20250611
S0001113,VB,VB,Mine,Openpit,Operating,J00028,Bottle Creek,120.456417999999999,-29.178301999999999,252639,6769582,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,2939,MOUNT MASON,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Eastern Goldfields Superterrane,20250611
S0001114,Boags,Boags,Mine,Openpit,Operating,J00028,Bottle Creek,120.459052999999997,-29.188099999999999,252919,6768501,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,2939,MOUNT MASON,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Eastern Goldfields Superterrane,20250611
S0001161,Rayjax,Rayjax,Mine,Openpit,Operating,J04814,Mungari / Evolution,121.125890999999996,-30.762623999999999,320629,6595203,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0001172,George Palmer,George Palmer Pit,Mine,Openpit,Operating,J00446,Sino - Cape Preston Iron,116.141295999999997,-21.081340999999998,410801,7668609,50,Fe Mag Fe2O3,Iron,IRON ORE,George Palmer - Sino Iron,N,,Y,,Operating Mine,Public,2155,FORTESCUE,SF50-06,YARRALOOLA,"KARRATHA, CITY OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20250611
S0001224,Deepdale J,"Deepdale Mesa J Pits 1-12, J Extended",Mine,Openpit,Operating,J00484,Robe River - Deepdale,116.247354000000001,-21.751436999999999,422175,7594496,50,Fe,Iron,IRON ORE,Mesa J - Deepdale,N,,Y,,Operating Mine,Public,2154,PANNAWONICA,SF50-06,YARRALOOLA,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20250611
S0001256,Gossan Hill U/G,Gossan Hill Portal,Mine,Decline,Operating,J00527,Golden Grove,116.962406999999999,-28.765087000000001,496330,6818040,50,Cu Zn Pb Ag Au,Base metal,COPPER - LEAD - ZINC,Golden Grove,Y,"Cu, Zn, Pb, Ag, Au",Y,,Operating Mine,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20250611
S0001257,Scuddles U/G,Scuddles Portal - Cervantes,Mine,Decline,Operating,J00527,Golden Grove,116.945103000000003,-28.744567000000000,494640,6820312,50,Zn Pb Cu Ag Au,Base metal,COPPER - LEAD - ZINC,Scuddles,Y,"Zn, Pb, Cu, Ag, Au",Y,,Operating Mine,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20250611
S0001258,Goliath North,Goliath North - Mt Keith Satellite,Mine,Openpit,Operating,J00756,Mt Keith / BHP Billiton,120.589209999999994,-27.448650000000001,261729,6961560,51,Ni,Steel alloy metal,NICKEL,Goliath North,Y,Ni,Y,,Operating Mine,Public,3043,MOUNT KEITH,SG51-13,SIR SAMUEL,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",36,LAWLERS,Eastern Goldfields Superterrane,20250611
S0001260,Cornwall,Cornwall Primary Pegmatite,Mine,Openpit,Operating,J00530,Greenbushes Tantalum,116.059878999999995,-33.855803999999999,413034,6253434,50,Ta Li Sn Ta2O5 SnO2,Speciality metal,TIN - TANTALUM - LITHIUM,Cornwall Primary Pegmatite,N,,N,,Operating Mine,Public,2130,BRIDGETOWN,SI50-06,COLLIE,"BRIDGETOWN-GREENBUSHES, SHIRE OF","SOUTH WEST, Development Region",1,GREENBUSHES M.F.,South West Terrane,20250611
S0001331,Koolyanobbing K,Koolyanobbing K,Mine,Openpit,Operating,J00559,Koolyanobbing Iron,119.518600000000006,-30.797041000000000,740985,6590177,50,Fe FeSpec OrnStone,Iron,IRON ORE,Koolyanobbing,N,,Y,,Operating Mine,Public,2836,SEABROOK,SH50-12,JACKSON,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20250611
S0001346,Wheelarra 4,Wheelarra 4,Mine,Openpit,Operating,J00573,Jimblebar-Wheelarra-Hashimoto / BHPB,120.137100000000004,-23.380329000000000,207350,7411473,51,Fe,Iron,IRON ORE,Wheelarra 4,N,,N,,Operating Mine,Public,2951,MURRAMUNDA,SF51-13,ROBERTSON,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20250611
S0001385,Tom Price,Tom Price Main and Remnants,Mine,Openpit,Operating,J03928,Tom Price / Rio Tinto,117.776094999999998,-22.769347000000000,579672,7481804,50,Fe,Iron,IRON ORE,Tom Price,N,,N,,Operating Mine,Public,2452,MOUNT LIONEL,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0001387,Sec 17 Main West,Turner Syncline Section 17 Main West,Mine,Openpit,Operating,J00609,Turner Syncline West,117.469112999999993,-22.721753000000000,548174,7487205,50,Fe,Iron,IRON ORE,Section 17 - Turner Syncline,N,,Y,,Operating Mine,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0001388,Turner Syncline Sec 10,Turner Syncline Section 10,Mine,Openpit,Operating,J00609,Turner Syncline West,117.586303999999998,-22.662210000000002,560234,7493753,50,Fe,Iron,IRON ORE,Western Turner Syncline,N,,N,,Operating Mine,Public,2452,MOUNT LIONEL,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0001395,Munda Gold,Munda Gold,Mine,Openpit,Operating,J02853,Widgiemooltha Gold,121.530899000000005,-31.502896000000000,360485,6513727,51,Au Ag,Precious metal,GOLD,,N,,,,,Public,3234,COWAN,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0001402,Mt Whaleback,Mt Whaleback,Mine,Openpit,Operating,J00623,Newman / BHPB,119.675399999999996,-23.365359999999999,773504,7413500,50,Fe,Iron,IRON ORE,Mt Whaleback,N,,Y,,Operating Mine,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20250611
S0001405,OB 29,Mt Newman Orebody 29,Mine,Openpit,Operating,J00623,Newman / BHPB,119.703795999999997,-23.382259000000001,776373,7411573,50,Fe,Iron,IRON ORE,Orebody 29,N,,N,,Operating Mine,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20250611
S0001413,18E,Paraburdoo 18 East,Mine,Openpit,Operating,J03930,Paraburdoo / Rio Tinto,117.631302000000005,-23.255649999999999,564575,7428038,50,Fe,Iron,IRON ORE,Paraburdoo 18 East,N,,N,,Operating Mine,Public,2451,PARABURDOO,SF50-15,TUREE CREEK,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0001441,Wonnerup South,Wonnerup South Main Pit,Mine,Openpit,Operating,J01034,Bunbury Area Operations / Tronox,115.415251999999995,-33.670986999999997,353083,6273197,50,HM Ilm Leu Zrn,Speciality metal,HEAVY MINERAL SANDS,Wonnerup,N,,N,,Operating Mine,Public,1930,BUSSELTON,SI50-05,BUSSELTON,"BUSSELTON, CITY OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,Bunbury Trough,20250611
S0001455,Silvergrass Pit 4,Silvergrass Pit 4,Mine,Openpit,Operating,J03932,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.303539000000001,-22.317757000000000,531261,7531970,50,Fe,Iron,IRON ORE,Silvergrass,N,,Y,,Operating Mine,Public,2353,JEERINAH,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
S0001471,HD1 SC,Hope Downs 1 South Central,Mine,Openpit,Operating,J00685,Hope Downs Joint Venture,119.107343999999998,-22.998670000000001,716000,7455075,50,Fe,Iron,IRON ORE,Hope Downs 1 South Central,N,,N,,Operating Mine,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20250611
