SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0231378,Guilderton Rd Lot 1001 White Sand / Moore River Sand,Guilderton Rd Lot 1001 White Sand / Moore River Sand,Mine,Openpit,Operating,J02071,Moore River Sand and Limestone / Moore River Sand,115.538089999999997,-31.317879999999999,360895,6534245,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Vlaming Sub-basin,20250611
S0231379,Guilderton Rd Lot 1001 Yellow Sand / Moore River Sand,Guilderton Rd Lot 1001 Yellow Sand / Moore River Sand,Mine,Openpit,Operating,J02071,Moore River Sand and Limestone / Moore River Sand,115.532694000000006,-31.320239000000001,360385,6533977,50,Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2035,GINGIN,SH50-14,PERTH,"GINGIN, SHIRE OF","WHEATBELT, Development Region",70,SOUTH WEST M.F.,Vlaming Sub-basin,20250611
S0231390,Gravel Lot 4677,North West Coastal Highway Binnu Lot 4677,Mine,Openpit,Operating,J04511,Binnu Gravel / Simpkin,114.668739000000002,-27.979168999999999,270705,6902916,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1842,AJANA,SG50-13,AJANA,"NORTHAMPTON, SHIRE OF","MID-WEST, Development Region",66,NORTHAMPTON M.F.,"Pinjarra Orogen, Northampton Inlier",20250611
S0231391,North West Coastal Hwy Lot 6603,North West Coastal Hwy Binnu Lot 6603,Mine,Openpit,Operating,J04511,Binnu Gravel / Simpkin,114.689160999999999,-28.009354999999999,272777,6899609,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1841,NORTHAMPTON,SH50-01,GERALDTON,"NORTHAMPTON, SHIRE OF","MID-WEST, Development Region",66,NORTHAMPTON M.F.,"Pinjarra Orogen, Northampton Inlier",20250611
S0231429,Invincible South - St Ives,Invincible - St Ives,Mine,Openpit,Operating,J00178,Kambalda - St Ives,121.670717999999994,-31.279914000000002,373466,6538614,51,Au Ag,Precious metal,GOLD,Invincible - St Ives,N,,N,,Operating Mine,Public,3235,LAKE LEFROY,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20250611
S0231433,Coalfields Hwy Lots 501 and 21 Stages 9-12 / Catalano,Coalfields Hwy Lots 501 and 21 Stages 9-12 / Catalano,Mine,Openpit,Operating,J03290,Harvey / Catalano,115.901919000000007,-33.280835000000003,397746,6317041,50,Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2031,BUNBURY,SI50-06,COLLIE,"HARVEY, SHIRE OF","SOUTH WEST, Development Region",70,SOUTH WEST M.F.,South West Terrane,20250611
S0231503,Razorback,Razorback / Atlas,Mine,Openpit,Operating,J03673,Sanjiv Ridge,119.670345999999995,-21.468223999999999,776725,7623670,50,Fe,Iron,IRON ORE,Sanjiv Ridge,N,,Y,,Operating Mine,Public,2855,MARBLE BAR,SF50-08,MARBLE BAR,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Gorge Creek Basin,20250611
S0231535,Pivot Hill PH-Z1/Z2,Pivot Hill PH-Z1/Z2 / JAB,Mine,Openpit,Operating,J04336,Pivot Hill / JAB,128.271217000000007,-15.606543000000000,421874,8274452,52,Agg Bas,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,4566,ERSKINE,SD52-14,CAMBRIDGE GULF,"WYNDHAM-EAST KIMBERLEY, SHIRE OF","KIMBERLEY, Development Region",80,KIMBERLEY M.F.,Kalkarindji Large Igneous Province,20250611
S0231546,Shark Bay Rock 2,Shark Bay Rock 2,Mine,Openpit,Operating,J01707,GBRM / Shire of Shark Bay,113.656661999999997,-26.110918000000002,765681,7109320,49,Aggc Lst,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,1645,PERON,SG49-12,EDEL,"SHARK BAY, SHIRE OF","GASCOYNE, Development Region",9,GASCOYNE M.F.,Gascoyne Platform,20250611
S0231550,R34062 Keenan Rd Lot 1937 / Shire,Reserve 34062 Keenan Rd Monjingup Lot 1937 / Shire of Esperance,Mine,Openpit,Operating,J04498,GBRM / Shire of Esperance,121.831491000000000,-33.819113999999999,391860,6257286,51,Sdc Lsd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,3230,ESPERANCE,SI51-06,ESPERANCE,"ESPERANCE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Nornalup Zone,20250611
S0231562,Lime Rd Lot 2 / Ballantyne,Lime Rd Boyatup Lot 2 / Ballantyne,Mine,Openpit,Operating,,,122.281537999999998,-33.850313999999997,433535,6254209,51,Lsd,Construction material,LIMESTONE - LIMESAND,,N,,,,,Public,3330,MERIVALE,SI51-06,ESPERANCE,"ESPERANCE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Scaddan Embayment,20250611
S0231569,Mindijup Rd Lot 102 Sand Pit / Armogedin,Mindijup Rd Palmdale Lot 102 Sand Pit / Armogedin,Mine,Openpit,Operating,J04532,Albany / Armogedin (Great Southern Sands/Spinifex),118.071363000000005,-34.762211999999998,598048,6152804,50,Sd Sisd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2528,MANYPEAKS,SI50-11,MOUNT BARKER,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20250611
S0231572,Rocky Crossing Rd Lot 104 West/Armogedin,Rocky Crossing Rd Lot 104 Willyung - West / Armogedin,Mine,Openpit,Operating,J04532,Albany / Armogedin (Great Southern Sands/Spinifex),117.849902000000000,-34.955610000000000,577597,6131549,50,Sd Gvl,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2428,MOUNT BARKER,SI50-11,MOUNT BARKER,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Nornalup Zone,20250611
S0231573,Sandpatch Rd Lot 301/Armogedin,Sandpatch Rd Lot 301 Torndirrup / Armogedin,Mine,Openpit,Operating,J04532,Albany / Armogedin (Great Southern Sands/Spinifex),117.823318000000000,-35.051535999999999,575083,6120932,50,Sd Lsd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2427,ALBANY,SI50-15,ALBANY,"ALBANY, CITY OF","GREAT SOUTHERN, Development Region",70,SOUTH WEST M.F.,Esperance Shelf,20250611
