,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,MnO,TiO2,P2O5,Cr2O3,Cu,Ni,Pb,SO3,Sr,Zn,TOT/C,TOT/S,Ba,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,W,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,
MH38,66.73,15.82,5.29,0.36,4.32,5.64,0.76,0.02,0.61,0.03,0.03,73,104,2646,,270,93,0.18,,200,2,37.6,2.5,19.2,4.1,4.3,30.6,1,245.3,0.2,8.2,1.6,112,1.1,156.4,14.4,41.1,73.3,10.40,44.3,7.32,1.72,5.04,0.54,2.54,0.46,1.15,0.14,0.99,0.17,
MH39,72.72,17.16,1.24,0.07,0.50,5.00,2.94,0.01,0.15,0.01,,,,,,173,,,,1411,1,3.4,1.7,16.8,4.4,6.0,63.4,,82.3,0.5,8.9,1.7,18,2.2,153.8,9.5,38.3,70.1,7.59,27.3,3.99,0.80,2.38,0.30,1.42,0.30,0.93,0.14,0.99,0.19,
MH40,64.46,16.22,4.12,4.23,1.88,6.62,1.31,0.04,0.69,0.21,,,10,,,958,20,,,884,1,7.1,0.9,20.1,5.3,4.4,22.3,1,964.6,0.3,10.8,1.7,90,0.5,187.6,12.4,62.0,121.7,15.16,61.3,9.58,2.24,5.51,0.59,2.45,0.43,1.02,0.13,0.94,0.14,
MH49,47.38,5.44,14.61,3.36,27.96,0.02,0.09,0.17,0.28,0.02,0.53,54,919,22,,,87,0.03,,9,,106.0,1.2,5.7,0.6,0.9,3.7,,19.1,0.1,0.9,0.1,91,,23.6,3.5,3.1,5.6,0.61,2.3,0.61,0.21,0.72,0.12,0.93,0.17,0.46,0.09,0.52,0.10,
MH50,48.85,7.49,13.22,6.03,23.13,0.11,0.03,0.20,0.37,0.03,0.42,11,789,32,,75,128,0.03,,11,,79.8,,6.9,0.9,1.4,0.5,,35.0,0.1,1.1,,90,,29.5,6.6,4.6,9.3,0.99,4.3,0.92,0.28,1.14,0.17,1.23,0.25,0.73,0.10,0.84,0.14,
MH51,50.44,18.21,10.49,5.45,9.53,2.34,2.40,0.17,0.62,0.06,0.06,31,83,,,218,73,,,1387,2,42.0,1.0,15.0,1.4,2.3,41.8,,260.1,0.2,0.7,0.3,217,,55.9,15.7,3.9,7.5,1.24,5.9,1.68,0.53,2.17,0.38,2.59,0.58,1.65,0.23,1.62,0.26,
MH52,52.25,16.53,9.90,7.19,9.11,3.69,0.24,0.13,0.56,0.06,0.04,41,124,1542,,621,52,,,169,,42.9,0.6,14.5,1.4,2.2,4.6,,768.0,0.1,0.7,0.2,202,,54.8,15.9,4.1,8.1,1.25,5.8,1.75,0.63,2.13,0.41,2.65,0.61,1.74,0.23,1.69,0.28,
MH53,50.36,10.20,11.74,7.36,17.35,1.93,0.09,0.19,0.39,0.03,0.27,62,474,10,93,,41,,0.05,56,,71.4,,7.8,0.9,1.3,1.5,,75.7,,1.0,0.2,144,,34.0,9.0,5.3,10.2,1.12,4.5,1.13,0.36,1.39,0.23,1.44,0.31,0.93,0.14,0.98,0.14,
MH54,59.94,14.59,6.77,4.99,4.04,7.17,0.38,0.16,1.64,0.18,,71,51,,,152,30,0.06,,344,2,33.2,0.2,16.9,7.2,11.8,10.7,2,170.3,0.7,11.8,2.0,272,1.6,277.8,56.2,44.7,78.5,9.43,40.1,8.57,2.40,8.91,1.59,9.32,2.05,5.82,0.75,4.63,0.74,
MH55,65.52,14.90,4.01,6.05,2.24,6.05,0.09,0.05,0.71,0.26,,20,20,71,,747,10,0.02,,47,,9.1,0.2,14.6,4.5,3.6,1.2,,778.9,0.2,11.5,1.5,71,0.6,174.8,12.1,65.7,140.6,16.12,59.0,9.12,2.25,5.76,0.62,2.50,0.38,1.04,0.12,0.92,0.12,
MH56,65.67,14.92,3.53,3.21,3.29,8.09,0.13,0.07,0.85,0.14,,20,20,,,182,20,0.04,,74,2,12.0,,11.9,9.4,12.4,3.0,2,157.3,0.9,17.1,2.3,83,0.9,352.5,41.7,45.1,89.0,9.68,37.3,7.17,1.66,7.50,1.29,7.42,1.56,4.32,0.62,4.08,0.62,
MH57,51.57,16.69,9.41,11.56,7.63,1.89,0.45,0.14,0.51,0.04,0.04,82,102,20,,102,51,0.03,,119,,35.7,0.1,15.7,1.4,2.3,14.8,,164.8,0.2,2.2,0.6,184,,50.1,12.9,9.0,15.4,1.89,7.6,1.73,0.59,2.09,0.34,2.33,0.49,1.35,0.19,1.44,0.21,
MH58,52.63,15.47,9.79,10.20,7.90,2.25,0.81,0.14,0.58,0.05,0.07,61,102,,,265,41,0.05,,355,3,36.9,,13.7,1.3,2.7,24.9,,330.8,0.2,2.0,0.5,165,,57.4,14.7,8.8,17.6,1.97,8.3,1.86,0.67,2.36,0.38,2.39,0.57,1.47,0.24,1.43,0.27,
MH63,66.86,15.71,5.66,0.22,3.87,5.00,1.84,0.03,0.61,0.06,0.03,41,73,62,,187,62,0.03,,355,3,36.4,10.9,18.9,4.2,3.8,88.6,1,159.4,0.3,8.3,1.4,116,1.2,155.4,12.2,43.8,86.3,10.06,41.5,6.92,1.70,4.42,0.53,2.26,0.40,1.07,0.14,0.99,0.15,
MH65,64.47,17.90,4.55,0.54,1.08,10.34,0.08,0.02,0.87,0.04,,10,40,30,,283,,0.03,0.03,59,2,13.7,0.9,18.4,5.7,6.1,1.7,1,207.8,0.3,33.2,4.3,170,3.7,240.5,29.3,99.3,159.4,24.17,91.3,13.57,3.39,9.26,0.91,4.69,0.76,1.82,0.26,2.11,0.31,
MH66,50.68,6.11,10.40,9.19,22.51,0.04,0.02,0.18,0.40,0.01,0.36,,607,21,,,42,0.02,,8,1,69.7,,7.0,0.8,1.0,0.4,,15.1,,0.2,,172,,23.2,9.2,1.6,2.0,0.47,2.3,0.84,0.34,1.18,0.24,1.40,0.34,1.04,0.14,0.82,0.12,
MH67,68.07,16.06,4.17,0.58,2.58,7.09,0.64,0.04,0.59,0.06,0.01,20,41,,,306,41,0.09,,310,,16.4,0.6,17.4,3.6,3.2,14.9,,243.9,0.2,7.4,0.8,85,1.2,137.8,8.7,32.0,58.3,8.18,30.5,5.03,1.25,3.15,0.36,1.56,0.25,0.72,0.11,0.70,0.10,
MH68,53.17,7.57,11.52,6.80,19.89,0.01,0.02,0.19,0.38,0.03,0.32,53,413,11,,,64,0.03,,9,,68.0,,8.0,0.9,1.6,0.6,,14.9,0.1,1.1,0.3,156,0.7,29.3,5.9,2.4,4.4,0.65,3.0,0.88,0.31,0.84,0.18,1.11,0.24,0.75,0.12,0.72,0.13,
